round,playerId,mapX,mapY,value,numberStars,score
1,P08,0,0,12,1,12
1,P10,14,6,1,0,1
1,P06,2,6,2,1,2
1,P09,13,2,2,4,2
1,P07,5,2,1,5,1
1,P08,1,0,3,5,3
1,P10,14,7,2,0,2
1,P06,3,6,8,1,8
1,P06,4,6,3,1,3
1,P07,2,8,1,5,1
1,P10,14,8,1,5,1
1,P08,2,0,3,5,3
1,P09,4,2,2,4,2
1,P07,6,11,1,5,1
1,P09,8,2,0,5,0
2,P07,12,6,0,5,0
2,P09,1,0,3,0,3
2,P06,4,2,2,1,2
2,P10,14,11,2,5,2
2,P06,5,2,1,1,1
2,P08,3,6,8,5,8
2,P09,2,0,3,0,3
2,P07,10,3,13,1,13
2,P06,8,2,0,0,0
2,P09,0,0,12,0,12
2,P08,6,6,24,1,24
2,P10,14,12,2,5,2
2,P07,11,0,1,5,1
2,P08,8,6,1,0,1
2,P10,0,0,12,1,12
3,P08,6,6,24,0,24
3,P06,0,0,12,1,12
3,P07,10,3,13,0,13
3,P06,1,0,3,1,3
3,P09,4,6,3,0,3
3,P10,0,12,3,5,3
3,P06,2,0,3,1,3
3,P08,1,0,3,5,3
3,P09,2,6,2,0,2
3,P07,3,12,2,5,2
3,P10,0,6,0,5,0
3,P08,0,0,12,0,12
3,P07,9,9,0,5,0
3,P09,0,0,12,1,12
3,P10,0,7,27,5,27
4,P10,0,7,27,5,27
4,P06,11,0,1,1,1
4,P07,10,3,13,0,13
4,P09,0,0,12,1,12
4,P08,5,8,3,0,3
4,P06,13,2,2,1,2
4,P09,3,4,1,0,1
4,P06,12,6,0,1,0
4,P10,4,6,3,0,3
4,P07,10,7,99,0,99
4,P09,0,6,0,0,0
4,P10,3,6,8,5,8
4,P08,10,7,99,0,99
4,P07,12,8,1,5,1
4,P08,6,6,24,1,24
5,P06,12,8,1,1,1
5,P08,10,7,99,0,99
5,P10,0,7,27,5,27
5,P07,10,7,99,0,99
5,P09,0,0,12,0,12
5,P06,14,8,1,1,1
5,P10,12,14,1,0,1
5,P09,9,7,1,0,1
5,P08,6,6,24,1,24
5,P07,10,3,13,0,13
5,P06,14,10,6,1,6
5,P09,6,9,3,0,3
5,P07,13,4,22,0,22
5,P10,6,14,24,4,24
5,P08,13,4,22,3,22
6,P07,10,7,99,0,99
6,P08,10,7,99,0,99
6,P06,0,7,27,5,27
6,P10,0,7,27,0,27
6,P09,3,10,20,1,20
6,P07,13,4,22,0,22
6,P08,10,12,3,5,3
6,P10,11,0,1,0,1
6,P06,3,6,8,5,8
6,P09,0,0,12,1,12
6,P10,8,4,2,1,2
6,P06,14,11,2,1,2
6,P08,12,10,46,0,46
6,P07,0,7,27,2,27
6,P09,1,11,44,1,44
7,P10,3,4,1,0,1
7,P07,10,7,99,0,99
7,P08,10,7,99,0,99
7,P09,1,11,44,0,44
7,P06,0,7,27,5,27
7,P10,5,4,12,1,12
7,P09,3,10,20,0,20
7,P08,12,10,46,1,46
7,P06,1,11,44,5,44
7,P07,0,7,27,0,27
7,P10,7,4,1,1,1
7,P09,0,0,12,0,12
7,P06,3,10,20,5,20
7,P08,14,6,1,5,1
7,P07,1,3,3,5,3
8,P08,10,7,99,0,99
8,P07,10,7,99,0,99
8,P10,5,8,3,1,3
8,P09,1,11,44,0,44
8,P08,12,10,46,0,46
8,P06,2,8,1,1,1
8,P09,6,14,24,0,24
8,P10,8,8,1,1,1
8,P07,0,7,27,0,27
8,P06,1,11,44,5,44
8,P09,3,10,20,0,20
8,P10,0,7,27,4,27
8,P07,3,3,1,5,1
