round,playerId,mapX,mapY,value,numberStars,score
1,P03,5,2,1,1,1
1,P03,13,3,3,1,3
1,P03,4,7,43,4,43
2,P03,1,2,2,1,2
2,P03,11,1,4,1,4
2,P03,8,8,1,1,1
3,P03,6,6,3,3,3
3,P03,9,2,71,4,71
3,P03,4,4,4,2,4
4,P03,1,6,4,3,4
4,P03,11,3,1,1,1
4,P03,10,5,2,2,2
5,P03,6,0,1,1,1
5,P03,0,0,44,4,44
5,P03,2,9,2,2,2
6,P03,14,0,0,0,0
6,P03,12,13,7,3,7
6,P03,9,12,5,3,5
7,P03,6,9,2,2,2
7,P03,8,4,2,2,2
7,P03,2,11,71,5,71
8,P03,7,2,3,2,3
8,P03,10,0,1,1,1
8,P03,13,7,1,1,1
9,P03,13,9,0,0,0
9,P03,12,11,1,1,1
9,P03,10,9,0,0,0
10,P03,11,9,3,2,3
10,P03,9,6,53,4,53
10,P03,2,4,27,3,27
11,P03,10,3,1,1,1
11,P03,6,4,0,0,0
11,P03,5,3,1,1,1
12,P03,3,2,3,3,3
12,P03,3,1,1,1,1
12,P03,2,0,20,4,20
13,P03,5,12,8,3,8
13,P03,4,11,7,3,7
13,P03,1,10,5,3,5
14,P03,0,8,2,2,2
14,P03,0,6,0,0,0
14,P03,0,3,20,4,20
15,P03,12,5,7,3,7
15,P03,5,4,2,3,2
15,P03,5,9,7,3,7
16,P03,7,11,3,3,3
16,P03,9,9,3,3,3
16,P03,4,8,45,4,45
17,P03,6,4,0,4,0
17,P03,6,3,24,4,24
17,P03,13,1,1,1,1
18,P03,6,4,0,0,0
18,P03,0,14,19,3,19
18,P03,14,0,0,0,0
19,P03,11,8,2,2,2
19,P03,11,5,1,1,1
19,P03,5,5,0,0,0
20,P03,3,6,3,3,3
20,P03,3,14,2,2,2
20,P03,7,5,1,1,1
