round,playerId,mapX,mapY,value,numberStars,score
1,P05_R2_defector,14,7,5,5,5
1,P05_R2_defector,9,14,0,0,0
1,P05_R2_defector,9,4,1,5,1
1,P01_R2_defector,8,10,8,5,8
1,P01_R2_defector,12,5,2,0,2
1,P01_R2_defector,11,5,2,5,2
1,P02_R2_defector,13,0,4,0,4
1,P02_R2_defector,6,1,0,0,0
1,P02_R2_defector,5,10,20,3,20
1,P04_R2_defector,11,7,19,4,19
1,P04_R2_defector,2,5,11,5,11
1,P04_R2_defector,13,12,13,2,13
1,P03,6,6,14,1,14
1,P03,7,5,72,4,72
1,P03,8,5,1,1,1
2,P05_R2_defector,14,13,6,5,6
2,P05_R2_defector,14,2,2,2,2
2,P05_R2_defector,0,6,2,0,2
2,P01_R2_defector,7,5,72,0,72
2,P01_R2_defector,5,6,2,3,2
2,P01_R2_defector,2,2,3,5,3
2,P02_R2_defector,0,5,22,4,22
2,P02_R2_defector,14,5,1,0,1
2,P02_R2_defector,14,7,5,2,5
2,P04_R2_defector,2,5,11,0,11
2,P04_R2_defector,8,10,8,0,8
2,P04_R2_defector,10,5,2,0,2
2,P03,9,4,1,1,1
2,P03,5,4,8,1,8
2,P03,13,12,13,1,13
3,P05_R2_defector,0,5,22,0,22
3,P05_R2_defector,5,6,2,2,2
3,P05_R2_defector,0,0,21,4,21
3,P01_R2_defector,6,13,1,5,1
3,P01_R2_defector,11,5,2,0,2
3,P01_R2_defector,7,5,72,0,72
3,P02_R2_defector,11,13,1,0,1
3,P02_R2_defector,11,8,2,2,2
3,P02_R2_defector,5,0,12,5,12
3,P04_R2_defector,11,7,19,0,19
3,P04_R2_defector,7,5,72,0,72
3,P04_R2_defector,13,12,13,5,13
3,P03,0,5,22,2,22
3,P03,5,4,8,1,8
3,P03,5,6,2,1,2
4,P05_R2_defector,13,3,53,0,53
4,P05_R2_defector,0,0,21,0,21
4,P05_R2_defector,6,13,1,5,1
4,P01_R2_defector,9,5,4,0,4
4,P01_R2_defector,12,6,2,5,2
4,P01_R2_defector,14,8,1,5,1
4,P02_R2_defector,8,6,1,5,1
4,P02_R2_defector,14,7,5,1,5
4,P02_R2_defector,0,5,22,5,22
4,P04_R2_defector,13,12,13,0,13
4,P04_R2_defector,6,11,2,5,2
4,P04_R2_defector,7,5,72,2,72
4,P03,14,7,5,1,5
4,P03,8,10,8,1,8
4,P03,6,8,2,1,2
5,P05_R2_defector,2,14,0,3,0
5,P05_R2_defector,11,13,1,0,1
5,P05_R2_defector,8,4,27,0,27
5,P01_R2_defector,7,13,2,4,2
5,P01_R2_defector,13,12,13,5,13
5,P01_R2_defector,9,2,6,0,6
5,P02_R2_defector,7,5,72,0,72
5,P02_R2_defector,11,6,1,5,1
5,P02_R2_defector,8,14,1,1,1
5,P04_R2_defector,6,2,44,3,44
5,P04_R2_defector,5,9,27,0,27
5,P04_R2_defector,7,5,72,3,72
5,P03,5,0,12,1,12
5,P03,0,0,21,2,21
5,P03,2,2,3,1,3
6,P05_R2_defector,10,2,0,4,0
6,P05_R2_defector,14,8,1,5,1
6,P05_R2_defector,9,2,6,5,6
6,P01_R2_defector,8,6,1,5,1
