round,playerId,mapX,mapY,value,numberStars,score
1,P03_R2_defector,6,11,24,0,24
1,P03_R2_defector,1,5,0,5,0
1,P03_R2_defector,8,0,53,3,53
1,P04_R2_defector,10,0,2,5,2
1,P04_R2_defector,5,1,0,2,0
1,P04_R2_defector,5,11,13,0,13
1,P01_R2_defector,4,9,2,3,2
1,P01_R2_defector,1,12,99,0,99
1,P01_R2_defector,5,5,0,5,0
1,P05_R2_defector,6,0,19,5,19
1,P05_R2_defector,0,14,0,2,0
1,P05_R2_defector,6,6,4,0,4
1,P02,5,7,7,0,7
1,P02,8,8,2,0,2
1,P02,10,8,4,1,4
2,P03_R2_defector,6,0,19,5,19
2,P03_R2_defector,4,2,0,0,0
2,P03_R2_defector,13,2,8,5,8
2,P04_R2_defector,5,5,0,2,0
2,P04_R2_defector,10,4,2,0,2
2,P04_R2_defector,1,2,86,0,86
2,P01_R2_defector,4,0,1,1,1
2,P01_R2_defector,4,13,0,5,0
2,P01_R2_defector,1,12,99,1,99
2,P05_R2_defector,5,5,0,5,0
2,P05_R2_defector,6,12,6,0,6
2,P05_R2_defector,8,14,72,0,72
2,P02,4,9,2,0,2
2,P02,5,5,0,1,0
2,P02,1,5,0,3,0
3,P03_R2_defector,10,0,2,5,2
3,P03_R2_defector,13,2,8,2,8
3,P03_R2_defector,1,13,4,5,4
3,P04_R2_defector,3,2,1,5,1
3,P04_R2_defector,14,8,2,2,2
3,P04_R2_defector,1,2,86,0,86
3,P01_R2_defector,8,11,0,5,0
3,P01_R2_defector,14,8,2,5,2
3,P01_R2_defector,1,12,99,3,99
3,P05_R2_defector,2,12,1,5,1
3,P05_R2_defector,10,0,2,5,2
3,P05_R2_defector,8,14,72,3,72
3,P02,6,0,19,1,19
3,P02,10,0,2,1,2
3,P02,8,0,53,1,53
4,P03_R2_defector,6,2,2,5,2
4,P03_R2_defector,13,8,1,0,1
4,P03_R2_defector,6,0,19,2,19
4,P04_R2_defector,1,5,0,5,0
4,P04_R2_defector,10,1,9,3,9
4,P04_R2_defector,1,2,86,0,86
4,P01_R2_defector,6,0,19,5,19
4,P01_R2_defector,3,12,2,2,2
4,P01_R2_defector,1,12,99,0,99
4,P05_R2_defector,7,0,3,5,3
4,P05_R2_defector,7,14,3,0,3
4,P05_R2_defector,8,14,72,0,72
4,P02,13,2,8,2,8
4,P02,14,8,2,3,2
4,P02,4,13,0,2,0
5,P03_R2_defector,14,13,1,0,1
5,P03_R2_defector,8,9,20,0,20
5,P03_R2_defector,1,0,3,0,3
5,P04_R2_defector,5,5,0,0,0
5,P04_R2_defector,8,4,8,5,8
5,P04_R2_defector,1,2,86,0,86
5,P01_R2_defector,13,2,8,5,8
5,P01_R2_defector,10,1,9,0,9
5,P01_R2_defector,1,12,99,0,99
5,P05_R2_defector,14,1,2,5,2
5,P05_R2_defector,10,11,28,5,28
5,P05_R2_defector,8,14,72,4,72
5,P02,8,11,0,2,0
5,P02,1,13,4,2,4
5,P02,0,14,0,4,0
6,P03_R2_defector,10,5,53,0,53
6,P03_R2_defector,10,14,14,0,14
6,P03_R2_defector,8,7,3,5,3
6,P04_R2_defector,2,0,2,0,2
6,P04_R2_defector,7,3,0,5,0
6,P04_R2_defector,1,2,86,0,86
6,P01_R2_defector,13,9,1,0,1
6,P01_R2_defector,3,12,2,5,2
6,P01_R2_defector,1,12,99,0,99
6,P05_R2_defector,5,5,0,0,0
6,P05_R2_defector,10,11,28,5,28
6,P05_R2_defector,8,14,72,0,72
6,P02,6,0,19,1,19
6,P02,13,2,8,3,8
6,P02,5,5,0,3,0
7,P03_R2_defector,4,6,2,5,2
7,P03_R2_defector,1,5,0,5,0
7,P03_R2_defector,10,5,53,1,53
7,P04_R2_defector,13,6,1,5,1
7,P04_R2_defector,13,2,8,0,8
7,P04_R2_defector,1,2,86,0,86
7,P01_R2_defector,11,10,2,5,2
7,P01_R2_defector,4,7,1,0,1
7,P01_R2_defector,1,12,99,0,99
7,P05_R2_defector,8,4,8,0,8
7,P05_R2_defector,6,11,24,5,24
7,P05_R2_defector,8,14,72,0,72
7,P02,1,5,0,3,0
7,P02,4,9,2,1,2
7,P02,3,12,2,1,2
8,P03_R2_defector,6,9,3,1,3
8,P03_R2_defector,10,10,1,5,1
8,P03_R2_defector,10,11,28,2,28
8,P04_R2_defector,14,13,1,5,1
8,P04_R2_defector,4,3,3,0,3
8,P04_R2_defector,1,2,86,0,86
8,P01_R2_defector,2,4,3,0,3
8,P01_R2_defector,6,1,51,0,51
8,P01_R2_defector,1,12,99,0,99
8,P05_R2_defector,4,2,0,5,0
8,P05_R2_defector,14,1,2,5,2
8,P05_R2_defector,6,1,51,0,51
8,P02,8,9,20,1,20
8,P02,10,9,3,2,3
8,P02,13,9,1,2,1
9,P03_R2_defector,9,11,1,5,1
9,P03_R2_defector,11,0,1,5,1
9,P03_R2_defector,9,0,1,0,1
9,P04_R2_defector,10,8,4,3,4
9,P04_R2_defector,10,13,2,5,2
9,P04_R2_defector,1,2,86,0,86
9,P01_R2_defector,10,0,2,3,2
9,P01_R2_defector,6,1,51,0,51
9,P01_R2_defector,1,12,99,3,99
9,P05_R2_defector,8,0,53,0,53
9,P05_R2_defector,9,2,27,4,27
9,P05_R2_defector,8,7,3,5,3
9,P02,9,10,2,1,2
9,P02,8,9,20,1,20
9,P02,6,9,3,0,3
10,P03_R2_defector,5,5,0,5,0
10,P03_R2_defector,14,8,2,0,2
10,P03_R2_defector,1,9,13,0,13
10,P04_R2_defector,0,2,44,0,44
10,P04_R2_defector,4,13,0,5,0
10,P04_R2_defector,1,2,86,2,86
10,P01_R2_defector,11,3,2,0,2
10,P01_R2_defector,6,1,51,0,51
10,P01_R2_defector,1,12,99,0,99
10,P05_R2_defector,12,6,2,5,2
10,P05_R2_defector,9,2,27,5,27
10,P05_R2_defector,1,10,6,0,6
10,P02,10,0,2,1,2
10,P02,6,0,19,1,19
10,P02,8,0,53,1,53
11,P03_R2_defector,1,13,4,1,4
11,P03_R2_defector,9,12,43,2,43
11,P03_R2_defector,10,2,1,5,1
11,P04_R2_defector,3,12,2,5,2
11,P04_R2_defector,0,2,44,0,44
11,P04_R2_defector,1,2,86,0,86
11,P01_R2_defector,1,2,86,0,86
11,P01_R2_defector,6,1,51,3,51
11,P01_R2_defector,1,12,99,0,99
11,P05_R2_defector,10,0,2,0,2
11,P05_R2_defector,14,1,2,0,2
11,P05_R2_defector,11,0,1,0,1
11,P02,8,0,53,1,53
11,P02,8,1,2,1,2
11,P02,9,1,1,1,1
12,P03_R2_defector,3,10,11,5,11
12,P03_R2_defector,0,5,3,0,3
12,P03_R2_defector,6,8,1,5,1
12,P04_R2_defector,13,4,0,5,0
12,P04_R2_defector,8,1,2,0,2
12,P04_R2_defector,1,2,86,4,86
12,P01_R2_defector,6,1,51,0,51
12,P01_R2_defector,1,2,86,0,86
12,P01_R2_defector,1,12,99,0,99
12,P05_R2_defector,5,3,0,3,0
12,P05_R2_defector,5,1,0,1,0
12,P05_R2_defector,11,9,9,0,9
12,P02,8,0,53,1,53
12,P02,8,11,0,1,0
12,P02,7,3,0,1,0
13,P03_R2_defector,1,13,4,0,4
13,P03_R2_defector,13,5,7,5,7
13,P03_R2_defector,2,0,2,5,2
13,P04_R2_defector,10,12,2,4,2
13,P04_R2_defector,7,1,2,5,2
13,P04_R2_defector,1,2,86,0,86
13,P01_R2_defector,6,1,51,0,51
13,P01_R2_defector,1,2,86,0,86
13,P01_R2_defector,1,12,99,0,99
13,P05_R2_defector,12,11,1,0,1
13,P05_R2_defector,7,3,0,5,0
13,P05_R2_defector,8,6,2,2,2
13,P02,8,9,20,1,20
13,P02,7,0,3,1,3
13,P02,8,0,53,1,53
14,P03_R2_defector,3,3,7,4,7
14,P03_R2_defector,3,2,1,0,1
14,P03_R2_defector,6,1,51,4,51
14,P04_R2_defector,10,11,28,0,28
14,P04_R2_defector,9,3,0,5,0
14,P04_R2_defector,1,2,86,0,86
14,P01_R2_defector,6,1,51,1,51
14,P01_R2_defector,1,2,86,0,86
14,P01_R2_defector,1,12,99,0,99
14,P05_R2_defector,9,5,1,5,1
14,P05_R2_defector,8,1,2,5,2
14,P05_R2_defector,4,0,1,0,1
14,P02,11,0,1,3,1
14,P02,7,0,3,0,3
14,P02,8,0,53,1,53
15,P03_R2_defector,1,13,4,0,4
15,P03_R2_defector,3,12,2,0,2
15,P03_R2_defector,6,1,51,1,51
15,P04_R2_defector,1,5,0,0,0
15,P04_R2_defector,10,11,28,2,28
15,P04_R2_defector,12,6,2,1,2
15,P01_R2_defector,6,1,51,0,51
15,P01_R2_defector,1,2,86,0,86
15,P01_R2_defector,1,12,99,0,99
15,P05_R2_defector,4,10,0,5,0
15,P05_R2_defector,2,13,3,5,3
15,P05_R2_defector,1,13,4,5,4
15,P02,8,11,0,2,0
15,P02,9,11,1,2,1
15,P02,8,9,20,2,20
16,P03_R2_defector,2,12,1,5,1
16,P03_R2_defector,6,4,46,0,46
16,P03_R2_defector,6,1,51,0,51
16,P04_R2_defector,4,9,2,2,2
16,P04_R2_defector,11,10,2,5,2
16,P04_R2_defector,14,1,2,5,2
16,P01_R2_defector,6,1,51,0,51
16,P01_R2_defector,1,2,86,0,86
16,P01_R2_defector,1,12,99,0,99
16,P05_R2_defector,1,12,99,3,99
16,P05_R2_defector,11,1,3,5,3
16,P05_R2_defector,1,5,0,0,0
16,P02,8,9,20,2,20
16,P02,8,0,53,1,53
16,P02,6,0,19,1,19
17,P03_R2_defector,10,8,4,0,4
17,P03_R2_defector,1,11,2,2,2
17,P03_R2_defector,11,10,2,0,2
17,P04_R2_defector,4,13,0,5,0
17,P04_R2_defector,4,7,1,0,1
17,P04_R2_defector,10,0,2,5,2
17,P01_R2_defector,6,1,51,0,51
17,P01_R2_defector,1,2,86,0,86
17,P01_R2_defector,1,12,99,0,99
17,P05_R2_defector,14,10,1,5,1
17,P05_R2_defector,12,14,3,1,3
17,P05_R2_defector,1,12,99,0,99
17,P02,7,0,3,1,3
17,P02,6,0,19,1,19
17,P02,8,0,53,1,53
18,P03_R2_defector,6,9,3,5,3
18,P03_R2_defector,2,6,27,2,27
18,P03_R2_defector,14,10,1,5,1
18,P04_R2_defector,9,2,27,2,27
18,P04_R2_defector,3,2,1,5,1
18,P04_R2_defector,13,5,7,0,7
18,P01_R2_defector,6,1,51,0,51
18,P01_R2_defector,1,2,86,0,86
