round,playerId,mapX,mapY,value,numberStars,score
1,P05_R2_collaborator,8,6,24,4,24
1,P05_R2_collaborator,7,8,2,0,2
1,P05_R2_collaborator,6,6,7,0,7
1,P03_R2_collaborator,9,6,3,0,3
1,P03_R2_collaborator,2,11,0,0,0
1,P03_R2_collaborator,5,5,51,5,51
1,P04_R2_collaborator,6,9,4,0,4
1,P04_R2_collaborator,3,6,0,5,0
1,P04_R2_collaborator,4,4,6,0,6
1,P02_R2_defector,3,3,46,0,46
1,P02_R2_defector,4,9,4,0,4
1,P02_R2_defector,9,5,2,5,2
1,P01,0,0,0,0,0
1,P01,0,14,3,0,3
1,P01,14,14,45,0,45
2,P05_R2_collaborator,0,4,4,0,4
2,P05_R2_collaborator,14,3,1,0,1
2,P05_R2_collaborator,3,5,53,5,53
2,P03_R2_collaborator,10,14,3,0,3
2,P03_R2_collaborator,9,5,2,0,2
2,P03_R2_collaborator,9,14,2,2,2
2,P04_R2_collaborator,5,9,2,0,2
2,P04_R2_collaborator,8,6,24,2,24
2,P04_R2_collaborator,11,4,0,4,0
2,P02_R2_defector,3,14,0,0,0
2,P02_R2_defector,0,5,1,1,1
2,P02_R2_defector,3,3,46,0,46
2,P01,14,14,45,0,45
2,P01,14,0,19,0,19
2,P01,9,5,2,0,2
3,P05_R2_collaborator,4,9,4,0,4
3,P05_R2_collaborator,7,13,20,2,20
3,P05_R2_collaborator,5,4,14,3,14
3,P03_R2_collaborator,14,2,0,0,0
3,P03_R2_collaborator,3,14,0,0,0
3,P03_R2_collaborator,4,2,1,0,1
3,P04_R2_collaborator,3,5,53,1,53
3,P04_R2_collaborator,1,14,85,5,85
3,P04_R2_collaborator,7,2,4,0,4
3,P02_R2_defector,9,5,2,5,2
3,P02_R2_defector,11,7,0,0,0
3,P02_R2_defector,6,12,53,0,53
3,P01,14,14,45,0,45
3,P01,14,0,19,0,19
3,P01,0,5,1,0,1
4,P05_R2_collaborator,1,14,85,5,85
4,P05_R2_collaborator,7,14,0,0,0
4,P05_R2_collaborator,11,4,0,0,0
4,P03_R2_collaborator,6,6,7,0,7
4,P03_R2_collaborator,9,5,2,0,2
4,P03_R2_collaborator,7,13,20,0,20
4,P04_R2_collaborator,11,4,0,0,0
4,P04_R2_collaborator,3,5,53,3,53
4,P04_R2_collaborator,1,14,85,5,85
4,P02_R2_defector,0,6,1,5,1
4,P02_R2_defector,0,5,1,0,1
4,P02_R2_defector,6,12,53,0,53
4,P01,14,14,45,0,45
4,P01,14,0,19,0,19
4,P01,1,14,85,0,85
5,P05_R2_collaborator,1,11,2,0,2
5,P05_R2_collaborator,1,9,1,0,1
5,P05_R2_collaborator,1,14,85,5,85
5,P03_R2_collaborator,4,4,6,0,6
5,P03_R2_collaborator,12,1,27,3,27
5,P03_R2_collaborator,5,5,51,4,51
5,P04_R2_collaborator,7,0,22,1,22
5,P04_R2_collaborator,3,5,53,2,53
5,P04_R2_collaborator,1,13,1,3,1
5,P02_R2_defector,3,13,3,4,3
5,P02_R2_defector,11,8,3,3,3
5,P02_R2_defector,6,12,53,0,53
5,P01,1,14,85,0,85
5,P01,14,14,45,0,45
5,P01,9,5,2,0,2
6,P05_R2_collaborator,14,1,3,0,3
6,P05_R2_collaborator,3,6,0,2,0
6,P05_R2_collaborator,1,14,85,5,85
6,P03_R2_collaborator,9,13,3,4,3
6,P03_R2_collaborator,11,4,0,0,0
6,P03_R2_collaborator,5,5,51,3,51
6,P04_R2_collaborator,13,9,2,0,2
