round,playerId,mapX,mapY,value,numberStars,score
1,P01_R2_collaborator,14,1,7,1,7
1,P01_R2_collaborator,11,1,3,0,3
1,P01_R2_collaborator,6,10,22,1,22
1,P03_R2_collaborator,4,3,71,5,71
1,P03_R2_collaborator,3,12,3,0,3
1,P03_R2_collaborator,0,12,9,3,9
1,P02_R2_collaborator,11,14,3,0,3
1,P02_R2_collaborator,7,13,0,0,0
1,P02_R2_collaborator,14,9,3,0,3
1,P05_R2_collaborator,13,12,1,0,1
1,P05_R2_collaborator,7,10,27,4,27
1,P05_R2_collaborator,1,5,2,1,2
1,P04,9,4,5,2,5
1,P04,3,7,28,3,28
1,P04,9,10,1,4,1
2,P01_R2_collaborator,4,14,1,0,1
2,P01_R2_collaborator,14,1,7,0,7
2,P01_R2_collaborator,3,2,4,0,4
2,P03_R2_collaborator,14,3,84,5,84
2,P03_R2_collaborator,10,5,0,0,0
2,P03_R2_collaborator,4,3,71,5,71
2,P02_R2_collaborator,8,8,0,0,0
2,P02_R2_collaborator,7,6,2,0,2
2,P02_R2_collaborator,8,9,2,0,2
2,P05_R2_collaborator,3,0,3,0,3
2,P05_R2_collaborator,14,1,7,0,7
2,P05_R2_collaborator,9,6,1,2,1
2,P04,0,12,9,2,9
2,P04,7,10,27,2,27
2,P04,13,5,2,2,2
3,P01_R2_collaborator,2,11,12,0,12
3,P01_R2_collaborator,4,11,1,0,1
3,P01_R2_collaborator,4,2,1,0,1
3,P03_R2_collaborator,9,6,1,0,1
3,P03_R2_collaborator,4,3,71,5,71
3,P03_R2_collaborator,14,3,84,5,84
3,P02_R2_collaborator,13,14,3,0,3
3,P02_R2_collaborator,4,9,53,1,53
3,P02_R2_collaborator,14,3,84,5,84
3,P05_R2_collaborator,3,7,28,4,28
3,P05_R2_collaborator,9,4,5,4,5
3,P05_R2_collaborator,0,12,9,0,9
3,P04,4,3,71,3,71
3,P04,3,7,28,2,28
3,P04,7,10,27,1,27
4,P01_R2_collaborator,13,9,3,0,3
4,P01_R2_collaborator,4,5,2,0,2
4,P01_R2_collaborator,2,13,0,1,0
4,P03_R2_collaborator,11,3,3,0,3
4,P03_R2_collaborator,4,3,71,5,71
4,P03_R2_collaborator,14,3,84,5,84
4,P02_R2_collaborator,12,4,2,0,2
4,P02_R2_collaborator,4,9,53,5,53
4,P02_R2_collaborator,14,3,84,5,84
4,P05_R2_collaborator,11,1,3,4,3
4,P05_R2_collaborator,10,4,1,0,1
4,P05_R2_collaborator,7,5,3,0,3
4,P04,4,3,71,1,71
4,P04,1,1,2,3,2
4,P04,11,8,6,3,6
5,P01_R2_collaborator,7,10,27,5,27
5,P01_R2_collaborator,2,12,0,0,0
5,P01_R2_collaborator,1,13,19,4,19
5,P03_R2_collaborator,4,5,2,0,2
5,P03_R2_collaborator,4,3,71,5,71
5,P03_R2_collaborator,14,3,84,5,84
5,P02_R2_collaborator,12,7,0,1,0
5,P02_R2_collaborator,6,12,2,0,2
5,P02_R2_collaborator,14,3,84,5,84
5,P05_R2_collaborator,9,11,3,5,3
5,P05_R2_collaborator,4,5,2,0,2
5,P05_R2_collaborator,4,3,71,4,71
5,P04,4,3,71,2,71
5,P04,14,3,84,1,84
5,P04,11,1,3,0,3
6,P01_R2_collaborator,14,3,84,5,84
6,P01_R2_collaborator,1,13,19,3,19
6,P01_R2_collaborator,13,14,3,0,3
6,P03_R2_collaborator,13,4,4,4,4
6,P03_R2_collaborator,4,3,71,5,71
6,P03_R2_collaborator,14,3,84,5,84
6,P02_R2_collaborator,1,13,19,2,19
6,P02_R2_collaborator,4,11,1,5,1
6,P02_R2_collaborator,14,3,84,5,84
6,P05_R2_collaborator,14,3,84,5,84
6,P05_R2_collaborator,5,1,20,0,20
6,P05_R2_collaborator,4,3,71,5,71
6,P04,4,3,71,1,71
6,P04,14,3,84,1,84
6,P04,4,9,53,2,53
7,P01_R2_collaborator,8,4,3,4,3
7,P01_R2_collaborator,13,4,4,5,4
7,P01_R2_collaborator,14,3,84,5,84
7,P03_R2_collaborator,2,8,0,0,0
7,P03_R2_collaborator,4,3,71,5,71
7,P03_R2_collaborator,2,13,0,0,0
7,P02_R2_collaborator,7,2,13,0,13
7,P02_R2_collaborator,5,14,8,3,8
7,P02_R2_collaborator,14,3,84,5,84
7,P05_R2_collaborator,13,0,3,0,3
7,P05_R2_collaborator,4,3,71,5,71
7,P05_R2_collaborator,14,3,84,5,84
7,P04,4,3,71,1,71
7,P04,14,3,84,1,84
7,P04,5,9,1,0,1
8,P01_R2_collaborator,6,0,53,5,53
8,P01_R2_collaborator,10,4,1,0,1
8,P01_R2_collaborator,4,3,71,5,71
