round,playerId,mapX,mapY,value,numberStars,score
1,P02_R2_collaborator,1,1,20,2,20
1,P02_R2_collaborator,11,9,1,0,1
1,P02_R2_collaborator,12,13,0,5,0
1,P04_R2_collaborator,14,4,1,0,1
1,P04_R2_collaborator,10,8,2,0,2
1,P04_R2_collaborator,9,9,2,3,2
1,P03_R2_collaborator,13,11,3,0,3
1,P03_R2_collaborator,8,1,44,5,44
1,P03_R2_collaborator,9,9,2,0,2
1,P01_R2_collaborator,7,0,3,0,3
1,P01_R2_collaborator,10,8,2,5,2
1,P01_R2_collaborator,2,4,43,3,43
1,P05,3,9,2,4,2
1,P05,12,3,3,3,3
1,P05,11,13,0,4,0
2,P02_R2_collaborator,9,13,1,0,1
2,P02_R2_collaborator,12,8,1,5,1
2,P02_R2_collaborator,12,2,0,1,0
2,P04_R2_collaborator,2,7,46,5,46
2,P04_R2_collaborator,3,10,3,0,3
2,P04_R2_collaborator,4,2,2,0,2
2,P03_R2_collaborator,9,14,2,1,2
2,P03_R2_collaborator,5,9,1,0,1
2,P03_R2_collaborator,3,9,2,0,2
2,P01_R2_collaborator,10,8,2,0,2
2,P01_R2_collaborator,10,0,0,0,0
2,P01_R2_collaborator,2,4,43,3,43
2,P05,8,1,44,3,44
2,P05,12,13,0,5,0
2,P05,2,13,3,5,3
3,P02_R2_collaborator,9,8,86,3,86
3,P02_R2_collaborator,7,9,7,1,7
3,P02_R2_collaborator,14,12,27,2,27
3,P04_R2_collaborator,13,0,3,3,3
3,P04_R2_collaborator,11,1,3,0,3
3,P04_R2_collaborator,2,13,3,0,3
3,P03_R2_collaborator,7,14,7,0,7
3,P03_R2_collaborator,12,3,3,0,3
3,P03_R2_collaborator,2,6,0,1,0
3,P01_R2_collaborator,4,8,3,0,3
3,P01_R2_collaborator,1,13,3,0,3
3,P01_R2_collaborator,1,0,14,0,14
3,P05,8,1,44,0,44
3,P05,0,10,2,5,2
3,P05,1,1,20,2,20
4,P02_R2_collaborator,12,3,3,0,3
4,P02_R2_collaborator,11,5,1,0,1
4,P02_R2_collaborator,9,8,86,5,86
4,P04_R2_collaborator,3,0,3,0,3
4,P04_R2_collaborator,6,1,3,0,3
4,P04_R2_collaborator,7,2,2,0,2
4,P03_R2_collaborator,5,0,6,0,6
4,P03_R2_collaborator,13,0,3,5,3
4,P03_R2_collaborator,5,14,72,5,72
4,P01_R2_collaborator,1,13,3,1,3
4,P01_R2_collaborator,4,12,20,1,20
4,P01_R2_collaborator,13,4,4,0,4
4,P05,8,1,44,0,44
4,P05,6,14,1,5,1
4,P05,14,12,27,0,27
5,P02_R2_collaborator,0,8,6,0,6
5,P02_R2_collaborator,3,10,3,4,3
5,P02_R2_collaborator,9,8,86,5,86
5,P04_R2_collaborator,9,8,86,5,86
5,P04_R2_collaborator,14,14,4,0,4
5,P04_R2_collaborator,2,13,3,0,3
5,P03_R2_collaborator,3,0,3,1,3
5,P03_R2_collaborator,9,14,2,0,2
5,P03_R2_collaborator,5,14,72,5,72
5,P01_R2_collaborator,13,2,0,4,0
5,P01_R2_collaborator,10,5,4,4,4
5,P01_R2_collaborator,2,13,3,3,3
5,P05,8,1,44,0,44
5,P05,5,6,12,5,12
5,P05,9,6,4,5,4
6,P02_R2_collaborator,0,13,1,0,1
6,P02_R2_collaborator,11,13,0,0,0
6,P02_R2_collaborator,9,8,86,5,86
6,P04_R2_collaborator,8,7,4,0,4
6,P04_R2_collaborator,10,9,2,0,2
6,P04_R2_collaborator,9,8,86,5,86
6,P03_R2_collaborator,13,9,2,0,2
6,P03_R2_collaborator,3,10,3,2,3
6,P03_R2_collaborator,5,14,72,5,72
6,P01_R2_collaborator,6,10,2,2,2
6,P01_R2_collaborator,13,1,72,5,72
6,P01_R2_collaborator,0,4,1,0,1
6,P05,8,1,44,0,44
6,P05,0,14,2,5,2
6,P05,1,13,3,5,3
7,P02_R2_collaborator,2,1,2,0,2
7,P02_R2_collaborator,13,2,0,0,0
7,P02_R2_collaborator,9,8,86,5,86
7,P04_R2_collaborator,0,13,1,0,1
7,P04_R2_collaborator,12,14,20,4,20
