round,playerId,mapX,mapY,value,numberStars,score
1,P04_R2_defector,8,2,2,5,2
1,P04_R2_defector,14,13,1,5,1
1,P04_R2_defector,1,7,1,3,1
1,P02_R2_defector,11,5,45,3,45
1,P02_R2_defector,3,13,1,5,1
1,P02_R2_defector,2,5,86,0,86
1,P01_R2_defector,8,11,3,0,3
1,P01_R2_defector,8,3,2,0,2
1,P01_R2_defector,4,9,43,0,43
1,P05_R2_defector,3,12,3,4,3
1,P05_R2_defector,11,1,1,5,1
1,P05_R2_defector,14,12,8,5,8
1,P03,0,0,4,0,4
1,P03,14,0,5,0,5
1,P03,14,14,3,0,3
2,P04_R2_defector,11,5,45,3,45
2,P04_R2_defector,10,1,2,0,2
2,P04_R2_defector,5,14,7,0,7
2,P02_R2_defector,7,11,9,4,9
2,P02_R2_defector,6,4,2,5,2
2,P02_R2_defector,2,5,86,0,86
2,P01_R2_defector,1,7,1,3,1
2,P01_R2_defector,3,12,3,0,3
2,P01_R2_defector,9,10,2,0,2
2,P05_R2_defector,6,8,27,5,27
2,P05_R2_defector,3,1,1,0,1
2,P05_R2_defector,0,7,13,0,13
2,P03,14,13,1,0,1
2,P03,7,14,1,0,1
2,P03,0,8,0,0,0
3,P04_R2_defector,14,2,6,0,6
3,P04_R2_defector,0,1,1,5,1
3,P04_R2_defector,6,4,2,5,2
3,P02_R2_defector,1,1,0,0,0
3,P02_R2_defector,4,1,0,5,0
3,P02_R2_defector,2,5,86,0,86
3,P01_R2_defector,14,12,8,5,8
3,P01_R2_defector,4,7,8,0,8
3,P01_R2_defector,11,1,1,5,1
3,P05_R2_defector,10,4,2,5,2
3,P05_R2_defector,0,7,13,5,13
3,P05_R2_defector,3,12,3,4,3
3,P03,6,0,0,0,0
3,P03,14,7,5,0,5
3,P03,8,6,2,0,2
4,P04_R2_defector,2,11,2,0,2
4,P04_R2_defector,6,8,27,5,27
4,P04_R2_defector,12,0,3,0,3
4,P02_R2_defector,11,1,1,2,1
4,P02_R2_defector,3,12,3,1,3
