round,playerId,mapX,mapY,value,numberStars,score
1,P02_R2_collaborator,1,11,0,0,0
1,P02_R2_collaborator,3,12,71,5,71
1,P02_R2_collaborator,6,14,0,1,0
1,P01_R2_collaborator,3,12,71,5,71
1,P01_R2_collaborator,8,9,2,0,2
1,P01_R2_collaborator,6,10,0,0,0
1,P03_R2_collaborator,5,8,72,5,72
1,P03_R2_collaborator,4,12,2,0,2
1,P03_R2_collaborator,8,5,2,5,2
1,P05_R2_collaborator,14,1,6,0,6
1,P05_R2_collaborator,3,14,12,3,12
1,P05_R2_collaborator,8,14,0,0,0
1,P04,2,6,6,0,6
1,P04,2,11,0,0,0
1,P04,13,11,1,0,1
2,P02_R2_collaborator,8,3,1,0,1
2,P02_R2_collaborator,9,7,0,0,0
2,P02_R2_collaborator,3,12,71,5,71
2,P01_R2_collaborator,2,4,0,0,0
2,P01_R2_collaborator,5,8,72,5,72
2,P01_R2_collaborator,4,12,2,0,2
2,P03_R2_collaborator,9,9,0,2,0
2,P03_R2_collaborator,8,12,20,1,20
2,P03_R2_collaborator,5,8,72,5,72
2,P05_R2_collaborator,5,13,3,5,3
2,P05_R2_collaborator,13,1,3,0,3
2,P05_R2_collaborator,5,8,72,5,72
2,P04,8,5,2,0,2
2,P04,3,12,71,5,71
2,P04,3,14,12,1,12
3,P02_R2_collaborator,12,9,3,0,3
3,P02_R2_collaborator,4,10,2,0,2
3,P02_R2_collaborator,3,12,71,4,71
3,P01_R2_collaborator,11,2,1,0,1
3,P01_R2_collaborator,12,13,12,1,12
3,P01_R2_collaborator,5,8,72,5,72
3,P03_R2_collaborator,12,0,2,2,2
3,P03_R2_collaborator,5,1,44,3,44
3,P03_R2_collaborator,3,12,71,5,71
3,P05_R2_collaborator,7,7,1,0,1
3,P05_R2_collaborator,12,5,3,0,3
3,P05_R2_collaborator,3,5,1,0,1
3,P04,3,12,71,5,71
3,P04,5,8,72,5,72
3,P04,6,14,0,0,0
4,P02_R2_collaborator,6,2,13,0,13
4,P02_R2_collaborator,0,9,5,0,5
4,P02_R2_collaborator,3,12,71,5,71
4,P01_R2_collaborator,14,12,2,0,2
4,P01_R2_collaborator,12,8,3,0,3
4,P01_R2_collaborator,5,8,72,5,72
4,P03_R2_collaborator,6,5,1,0,1
4,P03_R2_collaborator,5,1,44,5,44
4,P03_R2_collaborator,3,12,71,5,71
4,P05_R2_collaborator,3,11,6,0,6
4,P05_R2_collaborator,3,12,71,5,71
4,P05_R2_collaborator,9,9,0,0,0
4,P04,3,12,71,5,71
4,P04,5,8,72,5,72
4,P04,5,1,44,5,44
5,P02_R2_collaborator,9,2,0,0,0
5,P02_R2_collaborator,10,1,28,4,28
5,P02_R2_collaborator,3,12,71,5,71
5,P01_R2_collaborator,5,14,13,4,13
5,P01_R2_collaborator,8,0,0,0,0
5,P01_R2_collaborator,5,8,72,5,72
5,P03_R2_collaborator,11,9,0,0,0
5,P03_R2_collaborator,13,8,46,5,46
5,P03_R2_collaborator,5,8,72,5,72
5,P05_R2_collaborator,3,2,2,1,2
5,P05_R2_collaborator,3,11,6,5,6
5,P05_R2_collaborator,7,1,53,5,53
5,P04,3,12,71,5,71
5,P04,5,8,72,5,72
5,P04,5,1,44,5,44
6,P02_R2_collaborator,5,8,72,5,72
6,P02_R2_collaborator,3,14,12,0,12
6,P02_R2_collaborator,3,12,71,5,71
6,P01_R2_collaborator,0,13,1,0,1
6,P01_R2_collaborator,3,12,71,5,71
6,P01_R2_collaborator,13,11,1,5,1
6,P03_R2_collaborator,7,1,53,2,53
6,P03_R2_collaborator,13,8,46,5,46
6,P03_R2_collaborator,5,8,72,3,72
6,P05_R2_collaborator,5,7,0,0,0
6,P05_R2_collaborator,8,11,3,0,3
6,P05_R2_collaborator,6,12,99,5,99
6,P04,3,12,71,5,71
6,P04,5,8,72,5,72
6,P04,5,1,44,5,44
7,P02_R2_collaborator,9,9,0,0,0
7,P02_R2_collaborator,3,12,71,5,71
7,P02_R2_collaborator,6,7,7,0,7
7,P01_R2_collaborator,11,12,6,0,6
7,P01_R2_collaborator,14,10,1,0,1
7,P01_R2_collaborator,5,1,44,5,44
7,P03_R2_collaborator,13,8,46,1,46
7,P03_R2_collaborator,11,5,2,0,2
7,P03_R2_collaborator,5,8,72,5,72
7,P05_R2_collaborator,5,8,72,5,72
7,P05_R2_collaborator,10,8,3,0,3
7,P05_R2_collaborator,6,12,99,5,99
7,P04,5,1,44,0,44
7,P04,5,8,72,0,72
7,P04,3,12,71,0,71
8,P02_R2_collaborator,8,13,86,5,86
8,P02_R2_collaborator,6,7,7,4,7
8,P02_R2_collaborator,5,2,85,5,85
8,P01_R2_collaborator,3,12,71,5,71
8,P01_R2_collaborator,2,2,20,0,20
8,P01_R2_collaborator,5,1,44,5,44
8,P03_R2_collaborator,6,1,5,0,5
8,P03_R2_collaborator,13,8,46,5,46
8,P03_R2_collaborator,5,8,72,5,72
8,P05_R2_collaborator,5,1,44,5,44
8,P05_R2_collaborator,5,8,72,5,72
8,P05_R2_collaborator,6,12,99,5,99
8,P04,3,12,71,0,71
8,P04,5,8,72,0,72
8,P04,5,1,44,0,44
9,P02_R2_collaborator,11,4,3,4,3
9,P02_R2_collaborator,5,2,85,5,85
9,P02_R2_collaborator,8,13,86,5,86
9,P01_R2_collaborator,2,2,20,1,20
9,P01_R2_collaborator,5,1,44,5,44
9,P01_R2_collaborator,3,12,71,5,71
9,P03_R2_collaborator,2,12,2,0,2
9,P03_R2_collaborator,9,10,1,5,1
9,P03_R2_collaborator,5,8,72,5,72
9,P05_R2_collaborator,5,1,44,5,44
9,P05_R2_collaborator,5,8,72,5,72
9,P05_R2_collaborator,6,12,99,5,99
9,P04,3,12,71,0,71
9,P04,5,8,72,0,72
9,P04,5,1,44,0,44
10,P02_R2_collaborator,3,11,6,3,6
10,P02_R2_collaborator,5,2,85,5,85
10,P02_R2_collaborator,8,13,86,5,86
10,P01_R2_collaborator,2,2,20,3,20
10,P01_R2_collaborator,5,1,44,5,44
10,P01_R2_collaborator,3,12,71,5,71
10,P03_R2_collaborator,12,13,12,4,12
10,P03_R2_collaborator,5,1,44,4,44
10,P03_R2_collaborator,5,8,72,5,72
10,P05_R2_collaborator,5,1,44,4,44
10,P05_R2_collaborator,5,8,72,5,72
10,P05_R2_collaborator,6,12,99,5,99
10,P04,3,12,71,0,71
10,P04,5,8,72,0,72
10,P04,5,1,44,0,44
11,P02_R2_collaborator,10,7,3,3,3
11,P02_R2_collaborator,5,2,85,5,85
11,P02_R2_collaborator,8,13,86,5,86
11,P01_R2_collaborator,2,2,20,3,20
11,P01_R2_collaborator,5,1,44,5,44
11,P01_R2_collaborator,3,12,71,5,71
11,P03_R2_collaborator,13,8,46,3,46
11,P03_R2_collaborator,5,1,44,5,44
11,P03_R2_collaborator,5,8,72,5,72
11,P05_R2_collaborator,5,1,44,1,44
11,P05_R2_collaborator,5,8,72,5,72
11,P05_R2_collaborator,6,12,99,5,99
11,P04,3,12,71,0,71
11,P04,5,8,72,0,72
11,P04,5,1,44,0,44
12,P02_R2_collaborator,9,6,0,0,0
12,P02_R2_collaborator,5,2,85,5,85
12,P02_R2_collaborator,8,13,86,5,86
12,P01_R2_collaborator,2,2,20,3,20
12,P01_R2_collaborator,0,13,1,0,1
12,P01_R2_collaborator,3,12,71,5,71
12,P03_R2_collaborator,5,1,44,5,44
12,P03_R2_collaborator,13,8,46,5,46
12,P03_R2_collaborator,5,8,72,5,72
12,P05_R2_collaborator,5,1,44,3,44
12,P05_R2_collaborator,5,8,72,5,72
12,P05_R2_collaborator,6,12,99,5,99
12,P04,3,12,71,0,71
12,P04,5,8,72,0,72
12,P04,5,1,44,0,44
13,P02_R2_collaborator,3,12,71,5,71
13,P02_R2_collaborator,5,2,85,5,85
13,P02_R2_collaborator,8,13,86,5,86
13,P01_R2_collaborator,2,6,6,0,6
13,P01_R2_collaborator,3,14,12,1,12
13,P01_R2_collaborator,10,8,3,0,3
13,P03_R2_collaborator,5,1,44,2,44
13,P03_R2_collaborator,13,8,46,4,46
13,P03_R2_collaborator,5,8,72,5,72
13,P05_R2_collaborator,5,1,44,2,44
13,P05_R2_collaborator,5,8,72,5,72
13,P05_R2_collaborator,6,12,99,5,99
13,P04,3,12,71,0,71
13,P04,5,8,72,0,72
13,P04,5,1,44,0,44
14,P02_R2_collaborator,3,12,71,5,71
14,P02_R2_collaborator,5,2,85,5,85
14,P02_R2_collaborator,8,13,86,5,86
14,P01_R2_collaborator,3,12,71,5,71
14,P01_R2_collaborator,10,12,1,0,1
14,P01_R2_collaborator,2,4,0,0,0
14,P03_R2_collaborator,5,1,44,5,44
14,P03_R2_collaborator,13,8,46,2,46
14,P03_R2_collaborator,5,8,72,5,72
14,P05_R2_collaborator,5,1,44,4,44
14,P05_R2_collaborator,5,8,72,5,72
14,P05_R2_collaborator,6,12,99,5,99
14,P04,3,12,71,0,71
14,P04,5,8,72,0,72
14,P04,5,1,44,0,44
15,P02_R2_collaborator,3,12,71,5,71
15,P02_R2_collaborator,5,2,85,5,85
15,P02_R2_collaborator,8,13,86,5,86
15,P01_R2_collaborator,5,8,72,5,72
15,P01_R2_collaborator,1,0,3,4,3
15,P01_R2_collaborator,3,12,71,5,71
15,P03_R2_collaborator,5,1,44,3,44
15,P03_R2_collaborator,13,8,46,5,46
15,P03_R2_collaborator,6,5,1,0,1
15,P05_R2_collaborator,5,1,44,2,44
15,P05_R2_collaborator,5,8,72,5,72
15,P05_R2_collaborator,6,12,99,5,99
15,P04,3,12,71,0,71
15,P04,5,8,72,0,72
15,P04,5,1,44,0,44
16,P02_R2_collaborator,3,12,71,5,71
16,P02_R2_collaborator,5,2,85,5,85
16,P02_R2_collaborator,8,13,86,3,86
16,P01_R2_collaborator,3,11,6,0,6
16,P01_R2_collaborator,3,12,71,5,71
16,P01_R2_collaborator,5,1,44,4,44
16,P03_R2_collaborator,11,7,1,0,1
16,P03_R2_collaborator,5,1,44,4,44
16,P03_R2_collaborator,9,12,3,1,3
16,P05_R2_collaborator,5,1,44,5,44
16,P05_R2_collaborator,5,8,72,5,72
16,P05_R2_collaborator,6,12,99,5,99
16,P04,3,12,71,0,71
16,P04,5,8,72,0,72
16,P04,5,1,44,0,44
17,P02_R2_collaborator,3,12,71,5,71
17,P02_R2_collaborator,5,2,85,5,85
17,P02_R2_collaborator,8,13,86,5,86
17,P01_R2_collaborator,11,2,1,2,1
17,P01_R2_collaborator,5,1,44,5,44
17,P01_R2_collaborator,6,12,99,5,99
17,P03_R2_collaborator,11,4,3,0,3
17,P03_R2_collaborator,2,2,20,4,20
17,P03_R2_collaborator,8,13,86,5,86
17,P05_R2_collaborator,5,1,44,5,44
17,P05_R2_collaborator,5,8,72,5,72
17,P05_R2_collaborator,6,12,99,5,99
17,P04,3,12,71,0,71
17,P04,5,8,72,0,72
17,P04,5,0,2,5,2
18,P02_R2_collaborator,3,12,71,5,71
18,P02_R2_collaborator,5,2,85,5,85
18,P02_R2_collaborator,8,13,86,3,86
18,P01_R2_collaborator,12,1,2,3,2
18,P01_R2_collaborator,5,1,44,4,44
18,P01_R2_collaborator,6,12,99,5,99
18,P03_R2_collaborator,13,12,3,0,3
18,P03_R2_collaborator,5,1,44,4,44
18,P03_R2_collaborator,8,13,86,5,86
18,P05_R2_collaborator,5,1,44,2,44
18,P05_R2_collaborator,5,8,72,5,72
18,P05_R2_collaborator,6,12,99,4,99
18,P04,3,12,71,0,71
18,P04,5,8,72,0,72
18,P04,5,1,44,0,44
19,P02_R2_collaborator,3,12,71,5,71
19,P02_R2_collaborator,5,2,85,5,85
19,P02_R2_collaborator,8,13,86,5,86
19,P01_R2_collaborator,8,13,86,5,86
19,P01_R2_collaborator,5,1,44,5,44
19,P01_R2_collaborator,6,12,99,5,99
19,P03_R2_collaborator,9,8,0,0,0
19,P03_R2_collaborator,5,1,44,1,44
19,P03_R2_collaborator,8,13,86,5,86
19,P05_R2_collaborator,5,1,44,1,44
19,P05_R2_collaborator,5,8,72,5,72
19,P05_R2_collaborator,6,12,99,5,99
19,P04,3,12,71,0,71
19,P04,5,8,72,0,72
19,P04,5,1,44,0,44
20,P02_R2_collaborator,3,12,71,5,71
20,P02_R2_collaborator,5,2,85,1,85
20,P02_R2_collaborator,8,13,86,5,86
20,P01_R2_collaborator,5,1,44,5,44
20,P01_R2_collaborator,8,13,86,5,86
20,P01_R2_collaborator,6,12,99,5,99
20,P03_R2_collaborator,7,9,6,0,6
20,P03_R2_collaborator,5,1,44,5,44
20,P03_R2_collaborator,8,13,86,5,86
20,P05_R2_collaborator,5,1,44,3,44
20,P05_R2_collaborator,5,8,72,5,72
20,P05_R2_collaborator,6,12,99,5,99
20,P04,3,12,71,0,71
20,P04,5,8,72,0,72
20,P04,5,1,44,0,44
