round,playerId,mapX,mapY,value,numberStars,score
1,P04_R2_defector,12,5,1,0,1
1,P04_R2_defector,4,13,2,3,2
1,P04_R2_defector,2,11,3,1,3
1,P05_R2_defector,1,9,2,2,2
1,P05_R2_defector,14,3,6,5,6
1,P05_R2_defector,2,2,1,5,1
1,P01_R2_defector,6,7,20,2,20
1,P01_R2_defector,12,5,1,5,1
1,P01_R2_defector,1,0,2,1,2
1,P03_R2_defector,0,6,3,5,3
1,P03_R2_defector,12,1,3,5,3
1,P03_R2_defector,4,0,72,1,72
1,P02,7,6,2,1,2
1,P02,12,8,2,1,2
1,P02,3,9,2,1,2
2,P04_R2_defector,7,13,71,0,71
2,P04_R2_defector,13,10,4,5,4
2,P04_R2_defector,6,14,1,5,1
2,P05_R2_defector,12,1,3,5,3
2,P05_R2_defector,1,2,13,0,13
2,P05_R2_defector,12,5,1,5,1
2,P01_R2_defector,8,1,1,5,1
2,P01_R2_defector,0,11,2,5,2
2,P01_R2_defector,12,1,3,5,3
2,P03_R2_defector,12,5,1,0,1
2,P03_R2_defector,6,5,6,0,6
2,P03_R2_defector,4,0,72,0,72
2,P02,0,6,3,1,3
2,P02,2,2,1,2,1
2,P02,11,10,0,1,0
3,P04_R2_defector,9,13,0,0,0
3,P04_R2_defector,6,1,1,3,1
3,P04_R2_defector,7,13,71,0,71
3,P05_R2_defector,12,8,2,0,2
3,P05_R2_defector,1,9,2,0,2
3,P05_R2_defector,5,9,85,0,85
3,P01_R2_defector,7,10,1,0,1
3,P01_R2_defector,0,3,1,5,1
3,P01_R2_defector,10,9,1,5,1
3,P03_R2_defector,0,11,2,5,2
3,P03_R2_defector,8,14,7,5,7
3,P03_R2_defector,4,0,72,0,72
3,P02,9,13,0,1,0
3,P02,2,13,2,1,2
3,P02,5,14,3,1,3
4,P04_R2_defector,8,1,1,0,1
4,P04_R2_defector,13,11,2,4,2
4,P04_R2_defector,7,13,71,0,71
4,P05_R2_defector,2,2,1,5,1
4,P05_R2_defector,13,1,8,4,8
4,P05_R2_defector,10,10,3,5,3
4,P01_R2_defector,5,3,24,0,24
4,P01_R2_defector,13,0,9,0,9
4,P01_R2_defector,8,3,1,5,1
4,P03_R2_defector,12,1,3,1,3
4,P03_R2_defector,8,14,7,5,7
4,P03_R2_defector,4,0,72,0,72
4,P02,9,5,0,1,0
4,P02,6,6,1,1,1
4,P02,9,11,1,1,1
5,P04_R2_defector,1,12,2,5,2
5,P04_R2_defector,4,0,72,0,72
5,P04_R2_defector,7,13,71,0,71
5,P05_R2_defector,10,9,1,5,1
5,P05_R2_defector,3,6,19,5,19
5,P05_R2_defector,12,14,24,2,24
5,P01_R2_defector,8,14,7,5,7
5,P01_R2_defector,5,10,1,5,1
5,P01_R2_defector,10,6,1,5,1
5,P03_R2_defector,11,11,0,5,0
5,P03_R2_defector,8,5,3,3,3
5,P03_R2_defector,4,0,72,0,72
5,P02,2,3,14,3,14
5,P02,12,3,0,1,0
5,P02,2,10,1,1,1
6,P04_R2_defector,6,14,1,0,1
6,P04_R2_defector,7,13,71,0,71
6,P04_R2_defector,6,7,20,1,20
6,P05_R2_defector,1,12,2,0,2
6,P05_R2_defector,3,6,19,0,19
6,P05_R2_defector,11,7,3,1,3
6,P01_R2_defector,4,3,0,5,0
