round,playerId,mapX,mapY,value,numberStars,score
1,P04_R2_collaborator,3,9,1,5,1
1,P04_R2_collaborator,3,0,1,1,1
1,P04_R2_collaborator,9,14,1,0,1
1,P02_R2_collaborator,1,1,3,0,3
1,P02_R2_collaborator,12,10,13,1,13
1,P02_R2_collaborator,8,12,2,0,2
1,P03_R2_collaborator,2,7,2,0,2
1,P03_R2_collaborator,11,4,1,0,1
1,P03_R2_collaborator,6,1,2,1,2
1,P01_R2_collaborator,4,13,1,0,1
1,P01_R2_collaborator,6,9,4,0,4
1,P01_R2_collaborator,10,1,3,0,3
1,P05,11,12,1,5,1
1,P05,6,12,1,5,1
1,P05,14,14,20,1,20
2,P04_R2_collaborator,11,14,0,0,0
2,P04_R2_collaborator,8,3,3,0,3
2,P04_R2_collaborator,9,4,1,0,1
2,P02_R2_collaborator,11,12,1,0,1
2,P02_R2_collaborator,3,9,1,0,1
2,P02_R2_collaborator,12,14,2,0,2
2,P03_R2_collaborator,11,12,1,0,1
2,P03_R2_collaborator,7,12,24,2,24
2,P03_R2_collaborator,11,5,6,0,6
2,P01_R2_collaborator,2,9,3,0,3
2,P01_R2_collaborator,14,13,3,0,3
2,P01_R2_collaborator,6,10,3,0,3
2,P05,14,14,20,1,20
2,P05,14,11,1,5,1
2,P05,11,11,2,5,2
3,P04_R2_collaborator,10,4,0,0,0
3,P04_R2_collaborator,7,1,0,2,0
3,P04_R2_collaborator,14,0,3,0,3
3,P02_R2_collaborator,9,2,0,0,0
3,P02_R2_collaborator,3,14,2,4,2
3,P02_R2_collaborator,13,13,3,0,3
3,P03_R2_collaborator,6,1,2,0,2
3,P03_R2_collaborator,3,9,1,0,1
3,P03_R2_collaborator,0,6,2,3,2
3,P01_R2_collaborator,3,0,1,0,1
3,P01_R2_collaborator,13,5,0,0,0
3,P01_R2_collaborator,11,1,1,0,1
3,P05,14,14,20,1,20
3,P05,6,13,3,1,3
3,P05,0,14,5,5,5
4,P04_R2_collaborator,1,11,3,0,3
4,P04_R2_collaborator,1,6,2,0,2
4,P04_R2_collaborator,3,14,2,0,2
4,P02_R2_collaborator,5,14,0,3,0
4,P02_R2_collaborator,7,1,0,0,0
4,P02_R2_collaborator,9,11,4,0,4
4,P03_R2_collaborator,6,12,1,0,1
4,P03_R2_collaborator,0,14,5,0,5
4,P03_R2_collaborator,5,3,1,0,1
4,P01_R2_collaborator,10,1,3,0,3
4,P01_R2_collaborator,3,9,1,3,1
4,P01_R2_collaborator,1,5,0,0,0
4,P05,14,14,20,1,20
4,P05,9,12,2,1,2
4,P05,9,10,3,5,3
5,P04_R2_collaborator,9,12,2,0,2
5,P04_R2_collaborator,11,11,2,0,2
5,P04_R2_collaborator,0,6,2,0,2
5,P02_R2_collaborator,12,3,72,5,72
5,P02_R2_collaborator,3,4,2,2,2
5,P02_R2_collaborator,14,3,24,4,24
5,P03_R2_collaborator,4,12,0,0,0
5,P03_R2_collaborator,6,11,99,5,99
5,P03_R2_collaborator,11,12,1,0,1
5,P01_R2_collaborator,8,3,3,0,3
5,P01_R2_collaborator,11,13,13,0,13
5,P01_R2_collaborator,0,14,5,0,5
5,P05,14,14,20,1,20
5,P05,11,7,1,5,1
5,P05,12,7,53,1,53
6,P04_R2_collaborator,0,3,1,0,1
6,P04_R2_collaborator,6,6,2,0,2
6,P04_R2_collaborator,9,1,86,5,86
6,P02_R2_collaborator,2,3,0,4,0
6,P02_R2_collaborator,14,3,24,4,24
6,P02_R2_collaborator,12,3,72,5,72
6,P03_R2_collaborator,14,10,1,0,1
6,P03_R2_collaborator,14,11,1,3,1
6,P03_R2_collaborator,6,11,99,5,99
6,P01_R2_collaborator,6,11,99,5,99
6,P01_R2_collaborator,14,12,1,0,1
6,P01_R2_collaborator,12,3,72,5,72
6,P05,12,7,53,1,53
6,P05,14,14,20,1,20
6,P05,13,4,4,5,4
7,P04_R2_collaborator,3,0,1,0,1
7,P04_R2_collaborator,0,14,5,3,5
7,P04_R2_collaborator,9,1,86,5,86
7,P02_R2_collaborator,4,9,1,0,1
7,P02_R2_collaborator,14,9,3,0,3
7,P02_R2_collaborator,12,3,72,5,72
7,P03_R2_collaborator,9,6,84,5,84
7,P03_R2_collaborator,8,9,46,2,46
7,P03_R2_collaborator,6,11,99,5,99
7,P01_R2_collaborator,12,7,53,2,53
7,P01_R2_collaborator,12,3,72,4,72
7,P01_R2_collaborator,6,11,99,5,99
7,P05,12,7,53,1,53
7,P05,14,14,20,1,20
7,P05,6,9,4,5,4
8,P04_R2_collaborator,1,4,2,0,2
8,P04_R2_collaborator,10,3,7,0,7
8,P04_R2_collaborator,9,1,86,5,86
8,P02_R2_collaborator,3,6,4,4,4
8,P02_R2_collaborator,11,10,51,5,51
8,P02_R2_collaborator,13,1,6,1,6
8,P03_R2_collaborator,8,9,46,5,46
8,P03_R2_collaborator,9,6,84,5,84
8,P03_R2_collaborator,6,11,99,5,99
8,P01_R2_collaborator,12,7,53,5,53
8,P01_R2_collaborator,12,3,72,5,72
8,P01_R2_collaborator,6,11,99,5,99
8,P05,12,7,53,1,53
8,P05,14,14,20,1,20
8,P05,13,9,20,1,20
9,P04_R2_collaborator,11,7,1,0,1
9,P04_R2_collaborator,9,10,3,0,3
9,P04_R2_collaborator,9,1,86,5,86
9,P02_R2_collaborator,4,6,21,3,21
9,P02_R2_collaborator,11,3,2,3,2
9,P02_R2_collaborator,2,3,0,3,0
9,P03_R2_collaborator,8,9,46,5,46
9,P03_R2_collaborator,9,6,84,1,84
9,P03_R2_collaborator,6,11,99,5,99
9,P01_R2_collaborator,12,7,53,5,53
9,P01_R2_collaborator,12,3,72,5,72
9,P01_R2_collaborator,6,11,99,5,99
9,P05,12,7,53,1,53
9,P05,13,9,20,1,20
9,P05,14,14,20,1,20
10,P04_R2_collaborator,3,11,3,0,3
10,P04_R2_collaborator,6,14,1,0,1
10,P04_R2_collaborator,9,1,86,5,86
10,P02_R2_collaborator,10,8,8,4,8
10,P02_R2_collaborator,11,5,6,0,6
10,P02_R2_collaborator,9,5,11,1,11
10,P03_R2_collaborator,8,9,46,3,46
10,P03_R2_collaborator,9,6,84,5,84
10,P03_R2_collaborator,6,11,99,5,99
10,P01_R2_collaborator,12,7,53,5,53
10,P01_R2_collaborator,12,3,72,5,72
10,P01_R2_collaborator,6,11,99,5,99
10,P05,12,7,53,1,53
10,P05,13,9,20,1,20
10,P05,14,14,20,1,20
11,P04_R2_collaborator,0,13,0,0,0
11,P04_R2_collaborator,6,11,99,5,99
11,P04_R2_collaborator,9,1,86,5,86
11,P02_R2_collaborator,3,8,3,4,3
11,P02_R2_collaborator,12,3,72,3,72
11,P02_R2_collaborator,14,11,1,5,1
11,P03_R2_collaborator,8,9,46,4,46
11,P03_R2_collaborator,9,6,84,5,84
11,P03_R2_collaborator,6,11,99,5,99
11,P01_R2_collaborator,12,7,53,5,53
11,P01_R2_collaborator,12,3,72,5,72
11,P01_R2_collaborator,6,11,99,5,99
11,P05,12,7,53,0,53
11,P05,13,9,20,1,20
11,P05,14,14,20,0,20
12,P04_R2_collaborator,12,7,53,5,53
12,P04_R2_collaborator,9,1,86,5,86
12,P04_R2_collaborator,6,11,99,5,99
12,P02_R2_collaborator,0,7,2,0,2
12,P02_R2_collaborator,12,4,2,0,2
12,P02_R2_collaborator,10,13,2,5,2
12,P03_R2_collaborator,8,9,46,2,46
12,P03_R2_collaborator,9,6,84,5,84
12,P03_R2_collaborator,6,11,99,5,99
12,P01_R2_collaborator,12,7,53,5,53
12,P01_R2_collaborator,12,3,72,5,72
12,P01_R2_collaborator,6,11,99,5,99
12,P05,12,7,53,0,53
12,P05,13,9,20,1,20
12,P05,14,14,20,0,20
13,P04_R2_collaborator,12,7,53,5,53
13,P04_R2_collaborator,9,1,86,5,86
13,P04_R2_collaborator,6,11,99,5,99
13,P02_R2_collaborator,5,11,0,4,0
13,P02_R2_collaborator,13,11,2,0,2
13,P02_R2_collaborator,8,2,4,0,4
13,P03_R2_collaborator,8,9,46,5,46
13,P03_R2_collaborator,9,6,84,5,84
13,P03_R2_collaborator,6,11,99,5,99
13,P01_R2_collaborator,12,7,53,5,53
13,P01_R2_collaborator,12,3,72,5,72
13,P01_R2_collaborator,6,11,99,5,99
13,P05,12,7,53,0,53
13,P05,13,9,20,1,20
13,P05,14,14,20,0,20
14,P04_R2_collaborator,12,7,53,5,53
14,P04_R2_collaborator,9,1,86,5,86
14,P04_R2_collaborator,6,11,99,5,99
14,P02_R2_collaborator,6,9,4,4,4
14,P02_R2_collaborator,2,2,0,0,0
14,P02_R2_collaborator,12,7,53,5,53
14,P03_R2_collaborator,8,9,46,5,46
14,P03_R2_collaborator,9,6,84,5,84
14,P03_R2_collaborator,6,11,99,5,99
14,P01_R2_collaborator,12,7,53,4,53
14,P01_R2_collaborator,12,3,72,5,72
14,P01_R2_collaborator,6,11,99,5,99
14,P05,12,7,53,1,53
14,P05,13,9,20,1,20
14,P05,6,11,99,0,99
15,P04_R2_collaborator,12,7,53,1,53
