round,playerId,mapX,mapY,value,numberStars,score
1,P04_R2_defector,8,4,2,3,2
1,P04_R2_defector,9,11,6,1,6
1,P04_R2_defector,9,3,9,5,9
1,P02_R2_defector,5,10,72,0,72
1,P02_R2_defector,14,7,3,4,3
1,P02_R2_defector,3,0,3,5,3
1,P03_R2_defector,1,1,1,2,1
1,P03_R2_defector,8,7,46,0,46
1,P03_R2_defector,5,1,2,5,2
1,P05_R2_defector,12,12,1,0,1
1,P05_R2_defector,14,11,1,5,1
1,P05_R2_defector,14,8,20,0,20
1,P01,1,1,1,5,1
1,P01,13,1,28,0,28
1,P01,1,13,2,0,2
2,P04_R2_defector,6,9,0,0,0
2,P04_R2_defector,1,1,1,5,1
2,P04_R2_defector,13,13,2,5,2
2,P02_R2_defector,1,10,8,5,8
2,P02_R2_defector,7,10,7,0,7
2,P02_R2_defector,5,10,72,0,72
2,P03_R2_defector,11,5,1,5,1
2,P03_R2_defector,9,11,6,0,6
2,P03_R2_defector,8,7,46,0,46
2,P05_R2_defector,5,1,2,5,2
2,P05_R2_defector,1,5,0,5,0
2,P05_R2_defector,3,2,44,0,44
2,P01,13,1,28,0,28
2,P01,9,11,6,0,6
2,P01,5,1,2,0,2
3,P04_R2_defector,12,3,4,1,4
3,P04_R2_defector,11,13,2,5,2
3,P04_R2_defector,5,10,72,4,72
3,P02_R2_defector,8,12,2,5,2
3,P02_R2_defector,9,3,9,0,9
3,P02_R2_defector,14,11,1,4,1
3,P03_R2_defector,2,0,2,5,2
3,P03_R2_defector,6,3,3,5,3
3,P03_R2_defector,1,2,2,5,2
3,P05_R2_defector,3,0,3,3,3
3,P05_R2_defector,9,13,43,1,43
3,P05_R2_defector,5,8,86,0,86
3,P01,3,0,3,0,3
3,P01,13,1,28,0,28
3,P01,14,11,1,0,1
4,P04_R2_defector,7,13,1,5,1
4,P04_R2_defector,0,7,22,5,22
4,P04_R2_defector,0,11,2,5,2
4,P02_R2_defector,13,2,44,0,44
4,P02_R2_defector,3,14,1,0,1
4,P02_R2_defector,3,3,3,5,3
4,P03_R2_defector,0,12,3,0,3
4,P03_R2_defector,1,1,1,5,1
4,P03_R2_defector,9,0,2,5,2
4,P05_R2_defector,12,10,2,5,2
4,P05_R2_defector,9,13,43,0,43
4,P05_R2_defector,5,8,86,0,86
4,P01,1,10,8,0,8
4,P01,13,1,28,0,28
4,P01,5,1,2,0,2
5,P04_R2_defector,10,9,0,5,0
5,P04_R2_defector,4,12,2,1,2
5,P04_R2_defector,5,13,0,0,0
5,P02_R2_defector,3,12,0,5,0
5,P02_R2_defector,13,4,2,0,2
5,P02_R2_defector,13,2,44,0,44
5,P03_R2_defector,5,12,7,5,7
5,P03_R2_defector,0,7,22,0,22
5,P03_R2_defector,6,7,1,0,1
5,P05_R2_defector,12,12,1,5,1
5,P05_R2_defector,9,13,43,0,43
5,P05_R2_defector,5,8,86,0,86
5,P01,1,2,2,0,2
5,P01,13,1,28,0,28
5,P01,0,2,1,0,1
6,P04_R2_defector,13,5,1,5,1
6,P04_R2_defector,1,10,8,0,8
6,P04_R2_defector,3,0,3,5,3
6,P02_R2_defector,7,2,99,0,99
6,P02_R2_defector,13,14,1,5,1
6,P02_R2_defector,11,13,2,4,2
6,P03_R2_defector,14,2,4,5,4
6,P03_R2_defector,8,14,2,0,2
6,P03_R2_defector,1,13,2,5,2
6,P05_R2_defector,4,3,0,5,0
6,P05_R2_defector,1,1,1,0,1
6,P05_R2_defector,5,8,86,0,86
6,P01,9,11,6,0,6
6,P01,13,1,28,0,28
6,P01,9,13,43,0,43
7,P04_R2_defector,1,1,1,0,1
7,P04_R2_defector,8,5,6,5,6
7,P04_R2_defector,5,8,86,0,86
7,P02_R2_defector,0,11,2,5,2
7,P02_R2_defector,0,12,3,0,3
7,P02_R2_defector,7,2,99,0,99
7,P03_R2_defector,2,5,3,5,3
7,P03_R2_defector,5,3,1,5,1
7,P03_R2_defector,0,12,3,5,3
7,P05_R2_defector,3,0,3,5,3
7,P05_R2_defector,14,8,20,4,20
7,P05_R2_defector,13,13,2,5,2
7,P01,9,13,43,0,43
7,P01,13,1,28,0,28
7,P01,13,13,2,0,2
8,P04_R2_defector,4,13,8,5,8
8,P04_R2_defector,5,0,43,0,43
8,P04_R2_defector,5,8,86,0,86
8,P02_R2_defector,3,8,2,5,2
8,P02_R2_defector,7,13,1,5,1
8,P02_R2_defector,7,2,99,0,99
8,P03_R2_defector,10,1,4,1,4
8,P03_R2_defector,4,0,2,5,2
8,P03_R2_defector,0,7,22,4,22
8,P05_R2_defector,3,7,1,5,1
8,P05_R2_defector,9,3,9,5,9
8,P05_R2_defector,6,10,2,0,2
8,P01,12,13,1,0,1
8,P01,9,13,43,0,43
8,P01,13,1,28,0,28
9,P04_R2_defector,11,0,2,4,2
9,P04_R2_defector,5,0,43,1,43
9,P04_R2_defector,5,8,86,0,86
9,P02_R2_defector,10,2,1,5,1
9,P02_R2_defector,2,7,3,0,3
9,P02_R2_defector,7,2,99,0,99
9,P03_R2_defector,3,12,0,5,0
9,P03_R2_defector,9,3,9,5,9
9,P03_R2_defector,3,7,1,5,1
9,P05_R2_defector,12,3,4,5,4
9,P05_R2_defector,1,3,1,5,1
9,P05_R2_defector,8,12,2,5,2
9,P01,4,12,2,0,2
9,P01,13,1,28,0,28
9,P01,9,3,9,0,9
10,P04_R2_defector,12,14,3,0,3
10,P04_R2_defector,1,1,1,0,1
10,P04_R2_defector,5,8,86,0,86
10,P02_R2_defector,3,4,7,0,7
10,P02_R2_defector,5,5,53,0,53
10,P02_R2_defector,7,2,99,0,99
10,P03_R2_defector,13,13,2,5,2
