round,playerId,mapX,mapY,value,numberStars,score
1,P04_R2_constant_1,2,13,2,1,2
1,P04_R2_constant_1,1,4,1,1,1
1,P04_R2_constant_1,1,10,71,1,71
1,P02_R2_constant_1,5,13,0,1,0
1,P02_R2_constant_1,7,11,12,1,12
1,P02_R2_constant_1,11,14,2,1,2
1,P03_R2_constant_1,3,14,1,1,1
1,P03_R2_constant_1,8,14,1,1,1
1,P03_R2_constant_1,13,0,1,1,1
1,P05_R2_constant_1,14,2,5,1,5
1,P05_R2_constant_1,5,4,3,1,3
1,P05_R2_constant_1,12,9,2,1,2
1,P01,8,2,0,0,0
1,P01,4,6,3,0,3
1,P01,9,8,1,0,1
2,P04_R2_constant_1,12,11,86,1,86
2,P04_R2_constant_1,11,9,3,1,3
2,P04_R2_constant_1,1,10,71,1,71
2,P02_R2_constant_1,6,10,1,1,1
2,P02_R2_constant_1,13,0,1,1,1
2,P02_R2_constant_1,13,5,53,1,53
2,P03_R2_constant_1,3,6,1,1,1
2,P03_R2_constant_1,2,3,8,1,8
2,P03_R2_constant_1,6,11,2,1,2
2,P05_R2_constant_1,12,4,2,1,2
2,P05_R2_constant_1,5,13,0,1,0
2,P05_R2_constant_1,3,6,1,1,1
2,P01,8,6,7,1,7
2,P01,12,5,2,0,2
2,P01,6,8,0,0,0
3,P04_R2_constant_1,11,3,1,1,1
3,P04_R2_constant_1,1,10,71,1,71
3,P04_R2_constant_1,12,11,86,1,86
3,P02_R2_constant_1,12,1,3,1,3
3,P02_R2_constant_1,14,1,86,1,86
3,P02_R2_constant_1,10,8,1,1,1
3,P03_R2_constant_1,7,13,28,1,28
3,P03_R2_constant_1,4,0,2,1,2
3,P03_R2_constant_1,1,1,2,1,2
3,P05_R2_constant_1,3,1,1,1,1
3,P05_R2_constant_1,1,10,71,1,71
3,P05_R2_constant_1,4,14,6,1,6
3,P01,4,8,7,1,7
3,P01,2,0,3,0,3
3,P01,1,0,1,0,1
4,P04_R2_constant_1,8,6,7,1,7
4,P04_R2_constant_1,1,10,71,1,71
4,P04_R2_constant_1,12,11,86,1,86
4,P02_R2_constant_1,5,13,0,1,0
4,P02_R2_constant_1,12,4,2,1,2
4,P02_R2_constant_1,14,1,86,1,86
4,P03_R2_constant_1,10,7,46,1,46
4,P03_R2_constant_1,0,8,1,1,1
4,P03_R2_constant_1,2,4,3,1,3
4,P05_R2_constant_1,13,9,0,1,0
4,P05_R2_constant_1,11,12,5,1,5
4,P05_R2_constant_1,1,8,7,1,7
4,P01,2,10,24,2,24
4,P01,1,9,2,0,2
4,P01,1,11,53,3,53
5,P04_R2_constant_1,8,14,1,1,1
5,P04_R2_constant_1,1,10,71,1,71
5,P04_R2_constant_1,12,11,86,1,86
5,P02_R2_constant_1,7,5,7,1,7
5,P02_R2_constant_1,0,5,1,1,1
5,P02_R2_constant_1,14,1,86,1,86
5,P03_R2_constant_1,4,1,22,1,22
5,P03_R2_constant_1,4,6,3,1,3
5,P03_R2_constant_1,1,9,2,1,2
5,P05_R2_constant_1,1,1,2,1,2
5,P05_R2_constant_1,4,3,27,1,27
5,P05_R2_constant_1,5,7,3,1,3
5,P01,1,9,2,0,2
5,P01,0,10,19,0,19
5,P01,0,11,0,0,0
6,P04_R2_constant_1,5,4,3,1,3
6,P04_R2_constant_1,1,10,71,1,71
6,P04_R2_constant_1,12,11,86,1,86
6,P02_R2_constant_1,5,13,0,1,0
6,P02_R2_constant_1,5,4,3,1,3
6,P02_R2_constant_1,14,1,86,1,86
6,P03_R2_constant_1,3,1,1,1,1
6,P03_R2_constant_1,9,7,1,1,1
6,P03_R2_constant_1,0,10,19,1,19
6,P05_R2_constant_1,13,5,53,1,53
6,P05_R2_constant_1,2,6,9,1,9
6,P05_R2_constant_1,1,10,71,1,71
6,P01,11,1,45,3,45
6,P01,10,1,1,0,1
6,P01,9,1,6,0,6
7,P04_R2_constant_1,4,3,27,1,27
7,P04_R2_constant_1,1,10,71,1,71
7,P04_R2_constant_1,12,11,86,1,86
7,P02_R2_constant_1,7,4,3,1,3
7,P02_R2_constant_1,1,0,1,1,1
7,P02_R2_constant_1,14,1,86,1,86
7,P03_R2_constant_1,7,14,2,1,2
7,P03_R2_constant_1,14,9,3,1,3
7,P03_R2_constant_1,5,4,3,1,3
7,P05_R2_constant_1,2,6,9,1,9
7,P05_R2_constant_1,2,13,2,1,2
7,P05_R2_constant_1,6,5,2,1,2
7,P01,12,8,0,0,0
7,P01,8,9,0,0,0
7,P01,9,11,19,2,19
8,P04_R2_constant_1,8,0,3,1,3
8,P04_R2_constant_1,1,10,71,1,71
8,P04_R2_constant_1,12,11,86,1,86
8,P02_R2_constant_1,2,3,8,1,8
8,P02_R2_constant_1,7,3,3,1,3
8,P02_R2_constant_1,11,7,8,1,8
8,P03_R2_constant_1,14,10,20,1,20
8,P03_R2_constant_1,11,1,45,1,45
8,P03_R2_constant_1,0,9,1,1,1
8,P05_R2_constant_1,9,1,6,1,6
8,P05_R2_constant_1,6,13,1,1,1
8,P05_R2_constant_1,6,4,3,1,3
8,P01,3,12,4,0,4
8,P01,4,10,1,0,1
8,P01,8,8,1,0,1
9,P04_R2_constant_1,12,4,2,1,2
9,P04_R2_constant_1,1,10,71,1,71
9,P04_R2_constant_1,12,11,86,1,86
9,P02_R2_constant_1,1,9,2,1,2
9,P02_R2_constant_1,1,10,71,1,71
9,P02_R2_constant_1,11,14,2,1,2
9,P03_R2_constant_1,3,13,2,1,2
9,P03_R2_constant_1,14,10,20,1,20
9,P03_R2_constant_1,1,10,71,1,71
9,P05_R2_constant_1,1,10,71,1,71
9,P05_R2_constant_1,5,3,0,1,0
9,P05_R2_constant_1,10,13,8,1,8
9,P01,12,10,3,0,3
9,P01,13,11,3,0,3
9,P01,12,12,27,2,27
10,P04_R2_constant_1,5,2,1,1,1
10,P04_R2_constant_1,1,10,71,1,71
10,P04_R2_constant_1,12,11,86,1,86
10,P02_R2_constant_1,0,14,2,1,2
10,P02_R2_constant_1,0,5,1,1,1
10,P02_R2_constant_1,1,10,71,1,71
10,P03_R2_constant_1,13,1,2,1,2
10,P03_R2_constant_1,0,1,20,1,20
10,P03_R2_constant_1,1,10,71,1,71
10,P05_R2_constant_1,0,13,2,1,2
10,P05_R2_constant_1,10,4,8,1,8
10,P05_R2_constant_1,1,10,71,1,71
10,P01,12,11,86,3,86
10,P01,11,10,0,0,0
10,P01,11,11,4,0,4
11,P04_R2_constant_1,11,4,2,1,2
11,P04_R2_constant_1,1,10,71,1,71
11,P04_R2_constant_1,12,11,86,1,86
11,P02_R2_constant_1,6,9,2,1,2
11,P02_R2_constant_1,11,3,1,1,1
11,P02_R2_constant_1,1,10,71,1,71
11,P03_R2_constant_1,9,14,85,1,85
11,P03_R2_constant_1,4,4,3,1,3
11,P03_R2_constant_1,1,10,71,1,71
11,P05_R2_constant_1,13,14,45,1,45
11,P05_R2_constant_1,1,4,1,1,1
11,P05_R2_constant_1,1,10,71,1,71
11,P01,1,10,71,3,71
11,P01,4,5,13,2,13
11,P01,4,10,1,5,1
12,P04_R2_constant_1,0,1,20,1,20
12,P04_R2_constant_1,1,10,71,1,71
12,P04_R2_constant_1,12,11,86,1,86
12,P02_R2_constant_1,9,6,3,1,3
12,P02_R2_constant_1,1,0,1,1,1
12,P02_R2_constant_1,1,10,71,1,71
12,P03_R2_constant_1,6,13,1,1,1
12,P03_R2_constant_1,1,10,71,1,71
12,P03_R2_constant_1,9,14,85,1,85
12,P05_R2_constant_1,3,12,4,1,4
12,P05_R2_constant_1,2,12,2,1,2
12,P05_R2_constant_1,1,10,71,1,71
12,P01,14,1,86,1,86
12,P01,11,1,45,1,45
12,P01,5,13,0,5,0
13,P04_R2_constant_1,4,3,27,1,27
13,P04_R2_constant_1,1,10,71,1,71
13,P04_R2_constant_1,12,11,86,1,86
13,P02_R2_constant_1,9,7,1,1,1
13,P02_R2_constant_1,10,0,20,1,20
13,P02_R2_constant_1,1,10,71,1,71
13,P03_R2_constant_1,3,9,2,1,2
13,P03_R2_constant_1,1,10,71,1,71
13,P03_R2_constant_1,9,14,85,1,85
13,P05_R2_constant_1,6,2,8,1,8
13,P05_R2_constant_1,10,1,1,1,1
13,P05_R2_constant_1,1,2,1,1,1
13,P01,5,4,3,0,3
13,P01,6,7,99,0,99
13,P01,7,8,1,0,1
14,P04_R2_constant_1,4,3,27,1,27
14,P04_R2_constant_1,1,10,71,1,71
14,P04_R2_constant_1,12,11,86,1,86
14,P02_R2_constant_1,14,14,21,1,21
14,P02_R2_constant_1,13,9,0,1,0
14,P02_R2_constant_1,10,14,4,1,4
14,P03_R2_constant_1,3,2,4,1,4
14,P03_R2_constant_1,1,10,71,1,71
14,P03_R2_constant_1,9,14,85,1,85
