round,playerId,mapX,mapY,value,numberStars,score
1,P02_R2_constant_1,6,3,44,1,44
1,P02_R2_constant_1,3,12,2,1,2
1,P02_R2_constant_1,14,1,1,1,1
1,P01_R2_constant_1,1,4,7,1,7
1,P01_R2_constant_1,11,1,19,1,19
1,P01_R2_constant_1,13,2,2,1,2
1,P03_R2_constant_1,0,7,0,1,0
1,P03_R2_constant_1,6,6,1,1,1
1,P03_R2_constant_1,0,11,46,1,46
1,P04_R2_constant_1,0,9,1,1,1
1,P04_R2_constant_1,12,12,5,1,5
1,P04_R2_constant_1,0,2,3,1,3
1,P05,12,9,1,1,1
1,P05,4,4,1,1,1
1,P05,6,10,2,1,2
2,P02_R2_constant_1,14,3,2,1,2
2,P02_R2_constant_1,4,4,1,1,1
2,P02_R2_constant_1,6,3,44,1,44
2,P01_R2_constant_1,3,7,20,1,20
2,P01_R2_constant_1,1,13,13,1,13
2,P01_R2_constant_1,13,13,3,1,3
2,P03_R2_constant_1,0,9,1,1,1
2,P03_R2_constant_1,13,3,0,1,0
2,P03_R2_constant_1,7,13,1,1,1
2,P04_R2_constant_1,3,14,1,1,1
2,P04_R2_constant_1,7,3,2,1,2
2,P04_R2_constant_1,0,7,0,1,0
2,P05,12,5,4,1,4
2,P05,3,8,1,1,1
2,P05,3,1,4,1,4
3,P02_R2_constant_1,4,10,6,1,6
3,P02_R2_constant_1,7,13,1,1,1
3,P02_R2_constant_1,8,5,9,1,9
3,P01_R2_constant_1,0,9,1,1,1
3,P01_R2_constant_1,1,13,13,1,13
3,P01_R2_constant_1,7,13,1,1,1
3,P03_R2_constant_1,12,1,0,1,0
3,P03_R2_constant_1,3,12,2,1,2
3,P03_R2_constant_1,7,3,2,1,2
3,P04_R2_constant_1,6,5,3,1,3
3,P04_R2_constant_1,5,4,8,1,8
3,P04_R2_constant_1,3,8,1,1,1
3,P05,0,7,0,1,0
3,P05,6,3,44,5,44
3,P05,4,4,1,0,1
4,P02_R2_constant_1,9,7,1,1,1
4,P02_R2_constant_1,14,1,1,1,1
4,P02_R2_constant_1,0,9,1,1,1
4,P01_R2_constant_1,0,7,0,1,0
4,P01_R2_constant_1,1,14,0,1,0
4,P01_R2_constant_1,6,3,44,1,44
4,P03_R2_constant_1,9,9,12,1,12
4,P03_R2_constant_1,3,8,1,1,1
4,P03_R2_constant_1,12,2,3,1,3
4,P04_R2_constant_1,0,13,0,1,0
4,P04_R2_constant_1,13,5,3,1,3
4,P04_R2_constant_1,2,10,2,1,2
4,P05,6,3,44,1,44
4,P05,9,0,45,5,45
4,P05,0,0,1,1,1
5,P02_R2_constant_1,8,7,1,1,1
5,P02_R2_constant_1,13,4,13,1,13
5,P02_R2_constant_1,6,3,44,1,44
5,P01_R2_constant_1,7,3,2,1,2
5,P01_R2_constant_1,6,4,1,1,1
5,P01_R2_constant_1,1,13,13,1,13
5,P03_R2_constant_1,9,0,45,1,45
5,P03_R2_constant_1,13,1,6,1,6
5,P03_R2_constant_1,7,3,2,1,2
5,P04_R2_constant_1,1,11,3,1,3
