round,playerId,mapX,mapY,value,numberStars,score
1,P05_R2_constant_5,2,11,24,5,24
1,P05_R2_constant_5,5,12,2,5,2
1,P05_R2_constant_5,7,2,0,5,0
1,P03_R2_constant_5,8,4,24,5,24
1,P03_R2_constant_5,9,5,6,5,6
1,P03_R2_constant_5,8,9,13,5,13
1,P01_R2_constant_5,2,5,8,5,8
1,P01_R2_constant_5,3,3,1,5,1
1,P01_R2_constant_5,0,11,3,5,3
1,P04_R2_constant_5,5,9,1,5,1
1,P04_R2_constant_5,10,4,1,5,1
1,P04_R2_constant_5,10,11,2,5,2
1,P02,3,3,1,1,1
1,P02,10,3,2,1,2
1,P02,7,9,1,1,1
2,P05_R2_constant_5,0,7,3,5,3
2,P05_R2_constant_5,8,4,24,5,24
2,P05_R2_constant_5,3,3,1,5,1
2,P03_R2_constant_5,3,8,2,5,2
2,P03_R2_constant_5,13,0,12,5,12
2,P03_R2_constant_5,6,12,24,5,24
2,P01_R2_constant_5,13,4,85,5,85
2,P01_R2_constant_5,0,11,3,5,3
2,P01_R2_constant_5,13,11,3,5,3
2,P04_R2_constant_5,6,2,2,5,2
2,P04_R2_constant_5,8,11,4,5,4
2,P04_R2_constant_5,0,7,3,5,3
2,P02,12,8,1,1,1
2,P02,0,11,3,0,3
2,P02,0,7,3,1,3
3,P05_R2_constant_5,2,6,4,5,4
3,P05_R2_constant_5,9,7,0,5,0
3,P05_R2_constant_5,0,11,3,5,3
3,P03_R2_constant_5,12,10,3,5,3
3,P03_R2_constant_5,3,2,3,5,3
3,P03_R2_constant_5,0,9,0,5,0
3,P01_R2_constant_5,4,0,19,5,19
3,P01_R2_constant_5,9,5,6,5,6
3,P01_R2_constant_5,13,4,85,5,85
3,P04_R2_constant_5,0,14,4,5,4
3,P04_R2_constant_5,10,4,1,5,1
3,P04_R2_constant_5,8,13,84,5,84
3,P02,8,4,24,2,24
3,P02,4,1,45,3,45
3,P02,1,2,0,1,0
4,P05_R2_constant_5,11,14,43,5,43
4,P05_R2_constant_5,14,14,1,5,1
4,P05_R2_constant_5,2,11,24,5,24
4,P03_R2_constant_5,2,3,3,5,3
4,P03_R2_constant_5,1,14,3,5,3
4,P03_R2_constant_5,3,1,72,5,72
4,P01_R2_constant_5,11,8,3,5,3
4,P01_R2_constant_5,2,2,2,5,2
4,P01_R2_constant_5,13,4,85,5,85
4,P04_R2_constant_5,7,9,1,5,1
4,P04_R2_constant_5,9,14,0,5,0
4,P04_R2_constant_5,8,13,84,5,84
4,P02,4,1,45,4,45
4,P02,4,10,2,1,2
4,P02,10,8,14,1,14
5,P05_R2_constant_5,8,13,84,5,84
5,P05_R2_constant_5,8,9,13,5,13
5,P05_R2_constant_5,11,14,43,5,43
5,P03_R2_constant_5,8,4,24,5,24
5,P03_R2_constant_5,2,3,3,5,3
5,P03_R2_constant_5,10,13,1,5,1
5,P01_R2_constant_5,5,14,2,5,2
5,P01_R2_constant_5,10,4,1,5,1
5,P01_R2_constant_5,13,4,85,5,85
5,P04_R2_constant_5,10,1,4,5,4
5,P04_R2_constant_5,0,7,3,5,3
5,P04_R2_constant_5,8,13,84,5,84
5,P02,4,1,45,5,45
5,P02,8,4,24,4,24
5,P02,13,4,85,5,85
6,P05_R2_constant_5,11,6,20,5,20
6,P05_R2_constant_5,11,14,43,5,43
6,P05_R2_constant_5,8,13,84,5,84
6,P03_R2_constant_5,8,13,84,5,84
6,P03_R2_constant_5,9,7,0,5,0
6,P03_R2_constant_5,7,7,2,5,2
6,P01_R2_constant_5,8,13,84,5,84
6,P01_R2_constant_5,10,6,3,5,3
6,P01_R2_constant_5,13,4,85,5,85
6,P04_R2_constant_5,5,11,28,5,28
6,P04_R2_constant_5,2,10,2,5,2
6,P04_R2_constant_5,8,13,84,5,84
6,P02,13,4,85,5,85
6,P02,4,1,45,3,45
6,P02,10,10,53,5,53
7,P05_R2_constant_5,12,10,3,5,3
7,P05_R2_constant_5,4,0,19,5,19
7,P05_R2_constant_5,8,13,84,5,84
7,P03_R2_constant_5,7,4,8,5,8
7,P03_R2_constant_5,0,11,3,5,3
7,P03_R2_constant_5,4,1,45,5,45
7,P01_R2_constant_5,10,13,1,5,1
7,P01_R2_constant_5,8,13,84,5,84
7,P01_R2_constant_5,13,4,85,5,85
7,P04_R2_constant_5,1,8,44,5,44
7,P04_R2_constant_5,7,10,2,5,2
7,P04_R2_constant_5,8,13,84,5,84
7,P02,10,10,53,5,53
7,P02,13,4,85,5,85
7,P02,4,1,45,4,45
8,P05_R2_constant_5,12,6,4,5,4
8,P05_R2_constant_5,4,0,19,5,19
8,P05_R2_constant_5,8,13,84,5,84
8,P03_R2_constant_5,1,8,44,5,44
8,P03_R2_constant_5,11,12,14,5,14
8,P03_R2_constant_5,0,13,8,5,8
8,P01_R2_constant_5,4,12,2,5,2
8,P01_R2_constant_5,8,13,84,5,84
8,P01_R2_constant_5,13,4,85,5,85
8,P04_R2_constant_5,13,7,20,5,20
8,P04_R2_constant_5,1,8,44,5,44
8,P04_R2_constant_5,8,13,84,5,84
8,P02,8,13,84,5,84
8,P02,13,4,85,5,85
8,P02,10,10,53,5,53
9,P05_R2_constant_5,1,10,99,5,99
9,P05_R2_constant_5,7,1,11,5,11
9,P05_R2_constant_5,8,13,84,5,84
9,P03_R2_constant_5,8,8,1,5,1
9,P03_R2_constant_5,11,12,14,5,14
9,P03_R2_constant_5,8,13,84,5,84
9,P01_R2_constant_5,6,3,6,5,6
9,P01_R2_constant_5,8,13,84,5,84
9,P01_R2_constant_5,13,4,85,5,85
9,P04_R2_constant_5,10,6,3,5,3
9,P04_R2_constant_5,1,8,44,5,44
9,P04_R2_constant_5,8,13,84,5,84
9,P02,8,13,84,5,84
9,P02,13,4,85,5,85
9,P02,10,10,53,5,53
10,P05_R2_constant_5,7,7,2,5,2
10,P05_R2_constant_5,8,13,84,5,84
10,P05_R2_constant_5,1,10,99,5,99
10,P03_R2_constant_5,10,1,4,5,4
10,P03_R2_constant_5,11,12,14,5,14
10,P03_R2_constant_5,2,1,44,5,44
10,P01_R2_constant_5,7,14,1,5,1
10,P01_R2_constant_5,8,13,84,5,84
10,P01_R2_constant_5,6,2,2,5,2
10,P04_R2_constant_5,6,4,53,5,53
10,P04_R2_constant_5,1,8,44,5,44
10,P04_R2_constant_5,8,13,84,5,84
10,P02,8,13,84,1,84
10,P02,13,4,85,1,85
10,P02,10,10,53,2,53
11,P05_R2_constant_5,12,10,3,5,3
11,P05_R2_constant_5,8,13,84,5,84
11,P05_R2_constant_5,1,10,99,5,99
11,P03_R2_constant_5,10,6,3,5,3
11,P03_R2_constant_5,8,6,0,5,0
11,P03_R2_constant_5,5,4,2,5,2
11,P01_R2_constant_5,6,7,1,5,1
11,P01_R2_constant_5,7,7,2,5,2
11,P01_R2_constant_5,8,13,84,5,84
11,P04_R2_constant_5,1,8,44,5,44
11,P04_R2_constant_5,6,4,53,5,53
11,P04_R2_constant_5,8,13,84,5,84
11,P02,8,13,84,1,84
11,P02,13,4,85,1,85
11,P02,4,1,45,4,45
12,P05_R2_constant_5,9,1,9,5,9
12,P05_R2_constant_5,8,13,84,5,84
12,P05_R2_constant_5,1,10,99,5,99
12,P03_R2_constant_5,14,4,3,5,3
12,P03_R2_constant_5,4,0,19,5,19
12,P03_R2_constant_5,0,7,3,5,3
12,P01_R2_constant_5,1,8,44,5,44
12,P01_R2_constant_5,2,1,44,5,44
12,P01_R2_constant_5,8,13,84,5,84
12,P04_R2_constant_5,1,8,44,5,44
12,P04_R2_constant_5,6,4,53,5,53
12,P04_R2_constant_5,14,8,1,5,1
12,P02,8,13,84,1,84
12,P02,13,4,85,1,85
12,P02,10,10,53,1,53
13,P05_R2_constant_5,4,1,45,5,45
13,P05_R2_constant_5,8,13,84,5,84
13,P05_R2_constant_5,1,10,99,5,99
13,P03_R2_constant_5,9,13,53,5,53
13,P03_R2_constant_5,12,11,1,5,1
13,P03_R2_constant_5,13,4,85,5,85
13,P01_R2_constant_5,2,1,44,5,44
13,P01_R2_constant_5,1,8,44,5,44
13,P01_R2_constant_5,8,13,84,5,84
13,P04_R2_constant_5,4,7,3,5,3
13,P04_R2_constant_5,1,8,44,5,44
13,P04_R2_constant_5,6,4,53,5,53
13,P02,8,13,84,1,84
13,P02,13,4,85,1,85
13,P02,10,10,53,1,53
14,P05_R2_constant_5,4,1,45,5,45
14,P05_R2_constant_5,8,13,84,5,84
14,P05_R2_constant_5,1,10,99,5,99
