round,playerId,mapX,mapY,value,numberStars,score
1,P04_R2_constant_5,7,10,0,5,0
1,P04_R2_constant_5,9,12,1,5,1
1,P04_R2_constant_5,10,12,1,5,1
1,P01_R2_constant_5,10,14,20,5,20
1,P01_R2_constant_5,9,12,1,5,1
1,P01_R2_constant_5,8,1,11,5,11
1,P02_R2_constant_5,8,4,44,5,44
1,P02_R2_constant_5,8,14,3,5,3
1,P02_R2_constant_5,13,11,4,5,4
1,P05_R2_constant_5,8,14,3,5,3
1,P05_R2_constant_5,4,0,6,5,6
1,P05_R2_constant_5,7,2,27,5,27
1,P03,7,5,1,0,1
1,P03,4,12,0,0,0
1,P03,3,5,0,0,0
2,P04_R2_constant_5,4,4,2,5,2
2,P04_R2_constant_5,2,12,1,5,1
2,P04_R2_constant_5,14,14,2,5,2
2,P01_R2_constant_5,12,1,4,5,4
2,P01_R2_constant_5,8,14,3,5,3
2,P01_R2_constant_5,7,2,27,5,27
2,P02_R2_constant_5,12,13,3,5,3
2,P02_R2_constant_5,14,9,2,5,2
2,P02_R2_constant_5,9,12,1,5,1
2,P05_R2_constant_5,10,14,20,5,20
2,P05_R2_constant_5,14,6,3,5,3
2,P05_R2_constant_5,4,6,0,5,0
2,P03,8,4,44,3,44
2,P03,8,14,3,0,3
2,P03,9,12,1,0,1
3,P04_R2_constant_5,3,2,6,5,6
3,P04_R2_constant_5,8,9,1,5,1
3,P04_R2_constant_5,5,0,3,5,3
3,P01_R2_constant_5,14,10,19,5,19
3,P01_R2_constant_5,0,13,9,5,9
3,P01_R2_constant_5,7,2,27,5,27
3,P02_R2_constant_5,6,3,86,5,86
3,P02_R2_constant_5,14,0,7,5,7
3,P02_R2_constant_5,5,8,7,5,7
3,P05_R2_constant_5,2,0,4,5,4
3,P05_R2_constant_5,5,5,0,5,0
3,P05_R2_constant_5,9,12,1,5,1
3,P03,8,4,44,5,44
3,P03,4,0,6,0,6
3,P03,7,2,27,3,27
4,P04_R2_constant_5,7,8,2,5,2
4,P04_R2_constant_5,9,1,19,5,19
4,P04_R2_constant_5,0,14,2,5,2
4,P01_R2_constant_5,10,12,1,5,1
4,P01_R2_constant_5,14,10,19,5,19
4,P01_R2_constant_5,3,3,2,5,2
4,P02_R2_constant_5,4,7,2,5,2
4,P02_R2_constant_5,4,0,6,5,6
4,P02_R2_constant_5,6,3,86,5,86
4,P05_R2_constant_5,4,5,1,5,1
4,P05_R2_constant_5,4,4,2,5,2
4,P05_R2_constant_5,7,2,27,5,27
4,P03,8,4,44,3,44
4,P03,9,12,1,0,1
4,P03,2,0,4,0,4
5,P04_R2_constant_5,4,0,6,5,6
5,P04_R2_constant_5,6,6,53,5,53
5,P04_R2_constant_5,12,12,4,5,4
5,P01_R2_constant_5,4,7,2,5,2
5,P01_R2_constant_5,0,1,1,5,1
5,P01_R2_constant_5,9,8,0,5,0
5,P02_R2_constant_5,4,4,2,5,2
5,P02_R2_constant_5,7,8,2,5,2
5,P02_R2_constant_5,6,3,86,5,86
5,P05_R2_constant_5,3,2,6,5,6
5,P05_R2_constant_5,12,12,4,5,4
5,P05_R2_constant_5,5,9,6,5,6
5,P03,8,4,44,5,44
5,P03,7,2,27,3,27
5,P03,4,4,2,0,2
6,P04_R2_constant_5,4,5,1,5,1
6,P04_R2_constant_5,11,11,0,5,0
6,P04_R2_constant_5,6,8,0,5,0
6,P01_R2_constant_5,9,6,0,5,0
6,P01_R2_constant_5,8,12,8,5,8
6,P01_R2_constant_5,10,14,20,5,20
6,P02_R2_constant_5,3,2,6,5,6
6,P02_R2_constant_5,2,12,1,5,1
6,P02_R2_constant_5,6,3,86,5,86
6,P05_R2_constant_5,14,0,7,5,7
6,P05_R2_constant_5,14,10,19,5,19
6,P05_R2_constant_5,10,12,1,5,1
6,P03,8,4,44,4,44
6,P03,7,2,27,3,27
6,P03,9,12,1,0,1
7,P04_R2_constant_5,4,13,2,5,2
