round,playerId,mapX,mapY,value,numberStars,score
1,P02_R2_constant_5,9,2,20,5,20
1,P02_R2_constant_5,7,9,13,5,13
1,P02_R2_constant_5,1,4,12,5,12
1,P01_R2_constant_5,9,7,0,5,0
1,P01_R2_constant_5,8,4,1,5,1
1,P01_R2_constant_5,8,0,2,5,2
1,P05_R2_constant_5,12,4,43,5,43
1,P05_R2_constant_5,2,7,2,5,2
1,P05_R2_constant_5,11,13,7,5,7
1,P03_R2_constant_5,8,8,3,5,3
1,P03_R2_constant_5,10,8,3,5,3
1,P03_R2_constant_5,0,7,20,5,20
1,P04,13,8,99,2,99
1,P04,11,10,2,1,2
1,P04,11,8,71,1,71
2,P02_R2_constant_5,12,13,1,5,1
2,P02_R2_constant_5,7,11,4,5,4
2,P02_R2_constant_5,10,13,45,5,45
2,P01_R2_constant_5,0,4,3,5,3
2,P01_R2_constant_5,10,1,1,5,1
2,P01_R2_constant_5,4,5,71,5,71
2,P05_R2_constant_5,10,13,45,5,45
2,P05_R2_constant_5,9,8,2,5,2
2,P05_R2_constant_5,5,2,0,5,0
2,P03_R2_constant_5,9,7,0,5,0
2,P03_R2_constant_5,14,5,27,5,27
2,P03_R2_constant_5,3,5,2,5,2
2,P04,13,8,99,1,99
2,P04,11,8,71,1,71
2,P04,9,10,3,1,3
3,P02_R2_constant_5,10,8,3,5,3
3,P02_R2_constant_5,5,2,0,5,0
3,P02_R2_constant_5,10,13,45,5,45
3,P01_R2_constant_5,0,1,86,5,86
3,P01_R2_constant_5,14,8,1,5,1
3,P01_R2_constant_5,4,5,71,5,71
3,P05_R2_constant_5,8,6,7,5,7
3,P05_R2_constant_5,9,7,0,5,0
3,P05_R2_constant_5,10,13,45,5,45
3,P03_R2_constant_5,4,11,2,5,2
3,P03_R2_constant_5,1,4,12,5,12
3,P03_R2_constant_5,14,3,0,5,0
3,P04,13,8,99,1,99
3,P04,11,8,71,1,71
3,P04,9,10,3,1,3
4,P02_R2_constant_5,7,0,45,5,45
4,P02_R2_constant_5,9,7,0,5,0
4,P02_R2_constant_5,11,0,0,5,0
4,P01_R2_constant_5,7,11,4,5,4
4,P01_R2_constant_5,4,5,71,5,71
4,P01_R2_constant_5,3,12,0,5,0
4,P05_R2_constant_5,4,10,8,5,8
4,P05_R2_constant_5,9,8,2,5,2
4,P05_R2_constant_5,14,3,0,5,0
4,P03_R2_constant_5,14,12,24,5,24
4,P03_R2_constant_5,3,13,6,5,6
4,P03_R2_constant_5,10,14,1,5,1
4,P04,13,8,99,1,99
4,P04,11,8,71,1,71
4,P04,8,8,3,1,3
5,P02_R2_constant_5,9,2,20,5,20
5,P02_R2_constant_5,12,8,2,5,2
5,P02_R2_constant_5,7,2,9,5,9
5,P01_R2_constant_5,10,14,1,5,1
5,P01_R2_constant_5,9,7,0,5,0
5,P01_R2_constant_5,4,5,71,5,71
5,P05_R2_constant_5,1,2,0,5,0
5,P05_R2_constant_5,0,3,1,5,1
5,P05_R2_constant_5,14,14,6,5,6
5,P03_R2_constant_5,5,3,2,5,2
5,P03_R2_constant_5,7,12,2,5,2
5,P03_R2_constant_5,0,14,3,5,3
5,P04,13,8,99,2,99
5,P04,11,8,71,1,71
5,P04,8,9,3,2,3
6,P02_R2_constant_5,11,2,3,5,3
6,P02_R2_constant_5,12,12,72,5,72
6,P02_R2_constant_5,13,7,3,5,3
6,P01_R2_constant_5,9,2,20,5,20
6,P01_R2_constant_5,0,13,13,5,13
6,P01_R2_constant_5,8,4,1,5,1
6,P05_R2_constant_5,4,11,2,5,2
6,P05_R2_constant_5,8,0,2,5,2
6,P05_R2_constant_5,12,7,2,5,2
6,P03_R2_constant_5,2,4,53,5,53
6,P03_R2_constant_5,9,2,20,5,20
6,P03_R2_constant_5,14,3,0,5,0
6,P04,13,8,99,1,99
6,P04,11,8,71,0,71
6,P04,9,9,2,0,2
7,P02_R2_constant_5,4,1,53,5,53
7,P02_R2_constant_5,9,5,1,5,1
7,P02_R2_constant_5,12,12,72,5,72
7,P01_R2_constant_5,14,3,0,5,0
7,P01_R2_constant_5,0,13,13,5,13
7,P01_R2_constant_5,5,11,20,5,20
7,P05_R2_constant_5,9,11,27,5,27
7,P05_R2_constant_5,9,13,24,5,24
7,P05_R2_constant_5,10,13,45,5,45
7,P03_R2_constant_5,7,9,13,5,13
7,P03_R2_constant_5,13,7,3,5,3
7,P03_R2_constant_5,1,4,12,5,12
7,P04,13,8,99,1,99
7,P04,11,8,71,1,71
7,P04,9,9,2,1,2
8,P02_R2_constant_5,7,7,44,5,44
8,P02_R2_constant_5,4,1,53,5,53
8,P02_R2_constant_5,12,12,72,5,72
8,P01_R2_constant_5,11,11,27,5,27
8,P01_R2_constant_5,7,0,45,5,45
8,P01_R2_constant_5,12,7,2,5,2
8,P05_R2_constant_5,4,6,84,5,84
8,P05_R2_constant_5,1,4,12,5,12
8,P05_R2_constant_5,11,8,71,5,71
8,P03_R2_constant_5,4,5,71,5,71
8,P03_R2_constant_5,13,1,2,5,2
8,P03_R2_constant_5,5,7,2,5,2
8,P04,13,8,99,1,99
8,P04,11,8,71,1,71
