round,playerId,mapX,mapY,value,numberStars,score
1,P04_R2_optimized_1,11,3,27,0,27
1,P04_R2_optimized_1,7,6,12,0,12
1,P04_R2_optimized_1,5,10,3,0,3
1,P05_R2_optimized_1,4,13,1,0,1
1,P05_R2_optimized_1,12,14,3,0,3
1,P05_R2_optimized_1,12,5,3,0,3
1,P01_R2_optimized_1,11,12,3,0,3
1,P01_R2_optimized_1,0,6,0,0,0
1,P01_R2_optimized_1,10,14,7,0,7
1,P03_R2_optimized_1,7,5,1,0,1
1,P03_R2_optimized_1,2,2,2,0,2
1,P03_R2_optimized_1,5,11,5,0,5
1,P02,2,11,0,5,0
1,P02,9,14,0,5,0
1,P02,11,3,27,0,27
2,P04_R2_optimized_1,9,14,0,0,0
2,P04_R2_optimized_1,2,11,0,0,0
2,P04_R2_optimized_1,6,10,1,0,1
2,P05_R2_optimized_1,9,14,0,0,0
2,P05_R2_optimized_1,2,11,0,0,0
2,P05_R2_optimized_1,9,10,9,0,9
2,P01_R2_optimized_1,2,11,0,0,0
2,P01_R2_optimized_1,9,14,0,0,0
2,P01_R2_optimized_1,4,5,2,0,2
2,P03_R2_optimized_1,2,11,0,0,0
2,P03_R2_optimized_1,9,14,0,0,0
2,P03_R2_optimized_1,5,7,24,0,24
2,P02,11,3,27,0,27
2,P02,5,6,1,5,1
2,P02,11,8,3,3,3
3,P04_R2_optimized_1,11,8,3,0,3
3,P04_R2_optimized_1,5,6,1,0,1
3,P04_R2_optimized_1,6,8,1,0,1
3,P05_R2_optimized_1,11,8,3,0,3
3,P05_R2_optimized_1,5,6,1,0,1
3,P05_R2_optimized_1,3,4,72,0,72
3,P01_R2_optimized_1,11,8,3,0,3
3,P01_R2_optimized_1,5,6,1,0,1
3,P01_R2_optimized_1,5,0,1,0,1
3,P03_R2_optimized_1,11,8,3,0,3
3,P03_R2_optimized_1,5,6,1,0,1
3,P03_R2_optimized_1,5,0,1,0,1
3,P02,11,3,27,0,27
3,P02,2,3,0,0,0
3,P02,11,11,2,0,2
4,P04_R2_optimized_1,9,14,0,0,0
4,P04_R2_optimized_1,2,11,0,0,0
4,P04_R2_optimized_1,1,6,2,0,2
4,P05_R2_optimized_1,2,11,0,0,0
4,P05_R2_optimized_1,9,14,0,0,0
4,P05_R2_optimized_1,3,4,72,0,72
4,P01_R2_optimized_1,9,14,0,0,0
4,P01_R2_optimized_1,2,11,0,0,0
4,P01_R2_optimized_1,11,3,27,0,27
4,P03_R2_optimized_1,2,11,0,0,0
4,P03_R2_optimized_1,9,14,0,0,0
4,P03_R2_optimized_1,7,14,43,0,43
4,P02,11,3,27,0,27
4,P02,2,2,2,0,2
4,P02,1,9,3,5,3
5,P04_R2_optimized_1,5,6,1,0,1
5,P04_R2_optimized_1,11,8,3,0,3
5,P04_R2_optimized_1,1,9,3,0,3
5,P05_R2_optimized_1,1,9,3,0,3
5,P05_R2_optimized_1,11,8,3,0,3
5,P05_R2_optimized_1,3,4,72,0,72
5,P01_R2_optimized_1,1,9,3,0,3
5,P01_R2_optimized_1,5,6,1,0,1
5,P01_R2_optimized_1,11,8,3,0,3
5,P03_R2_optimized_1,5,6,1,0,1
5,P03_R2_optimized_1,11,8,3,0,3
5,P03_R2_optimized_1,7,14,43,0,43
5,P02,11,3,27,0,27
5,P02,13,0,3,0,3
5,P02,13,13,20,0,20
6,P04_R2_optimized_1,2,11,0,0,0
6,P04_R2_optimized_1,9,14,0,0,0
6,P04_R2_optimized_1,8,14,3,0,3
6,P05_R2_optimized_1,5,6,1,0,1
6,P05_R2_optimized_1,2,11,0,0,0
6,P05_R2_optimized_1,3,4,72,0,72
6,P01_R2_optimized_1,9,14,0,0,0
6,P01_R2_optimized_1,2,11,0,0,0
6,P01_R2_optimized_1,12,13,2,0,2
6,P03_R2_optimized_1,2,11,0,0,0
6,P03_R2_optimized_1,1,9,3,0,3
6,P03_R2_optimized_1,7,14,43,0,43
6,P02,11,3,27,0,27
6,P02,13,12,2,1,2
6,P02,13,11,1,0,1
7,P04_R2_optimized_1,5,6,1,0,1
7,P04_R2_optimized_1,11,8,3,0,3
7,P04_R2_optimized_1,13,12,2,0,2
7,P05_R2_optimized_1,9,14,0,0,0
7,P05_R2_optimized_1,1,9,3,0,3
7,P05_R2_optimized_1,3,4,72,0,72
7,P01_R2_optimized_1,5,6,1,0,1
7,P01_R2_optimized_1,1,9,3,0,3
7,P01_R2_optimized_1,11,8,3,0,3
7,P03_R2_optimized_1,5,6,1,0,1
7,P03_R2_optimized_1,13,12,2,0,2
7,P03_R2_optimized_1,11,8,3,0,3
7,P02,11,3,27,0,27
7,P02,2,2,2,0,2
7,P02,5,9,0,0,0
8,P04_R2_optimized_1,2,11,0,0,0
8,P04_R2_optimized_1,1,9,3,0,3
8,P04_R2_optimized_1,9,14,0,0,0
8,P05_R2_optimized_1,11,8,3,0,3
8,P05_R2_optimized_1,2,11,0,0,0
8,P05_R2_optimized_1,3,4,72,3,72
8,P01_R2_optimized_1,13,12,2,0,2
8,P01_R2_optimized_1,9,14,0,0,0
8,P01_R2_optimized_1,2,11,0,0,0
8,P03_R2_optimized_1,2,11,0,0,0
8,P03_R2_optimized_1,1,9,3,0,3
8,P03_R2_optimized_1,9,14,0,0,0
8,P02,11,3,27,0,27
8,P02,5,6,1,5,1
