round,playerId,mapX,mapY,value,numberStars,score
1,P05_R2_optimized_1,11,2,1,0,1
1,P05_R2_optimized_1,3,13,0,0,0
1,P05_R2_optimized_1,4,12,6,0,6
1,P01_R2_optimized_1,0,6,2,0,2
1,P01_R2_optimized_1,11,3,1,0,1
1,P01_R2_optimized_1,9,13,3,0,3
1,P04_R2_optimized_1,2,11,7,0,7
1,P04_R2_optimized_1,1,0,0,0,0
1,P04_R2_optimized_1,7,5,99,5,99
1,P02_R2_optimized_1,3,8,43,0,43
1,P02_R2_optimized_1,5,4,3,0,3
1,P02_R2_optimized_1,13,12,2,0,2
1,P03,10,8,1,1,1
1,P03,11,7,0,1,0
1,P03,2,7,1,2,1
2,P05_R2_optimized_1,7,5,99,5,99
2,P05_R2_optimized_1,11,7,0,0,0
2,P05_R2_optimized_1,10,8,1,0,1
2,P01_R2_optimized_1,10,8,1,0,1
2,P01_R2_optimized_1,2,7,1,0,1
2,P01_R2_optimized_1,7,5,99,5,99
2,P04_R2_optimized_1,10,8,1,0,1
2,P04_R2_optimized_1,2,7,1,0,1
2,P04_R2_optimized_1,7,5,99,5,99
2,P02_R2_optimized_1,10,8,1,0,1
2,P02_R2_optimized_1,11,7,0,0,0
2,P02_R2_optimized_1,2,7,1,0,1
2,P03,7,5,99,1,99
2,P03,2,7,1,1,1
2,P03,7,8,0,1,0
3,P05_R2_optimized_1,7,8,0,0,0
3,P05_R2_optimized_1,2,7,1,0,1
3,P05_R2_optimized_1,7,5,99,5,99
3,P01_R2_optimized_1,7,8,0,0,0
3,P01_R2_optimized_1,11,7,0,0,0
3,P01_R2_optimized_1,7,5,99,5,99
3,P04_R2_optimized_1,7,8,0,0,0
3,P04_R2_optimized_1,11,7,0,0,0
3,P04_R2_optimized_1,7,5,99,0,99
3,P02_R2_optimized_1,7,5,99,5,99
3,P02_R2_optimized_1,7,8,0,0,0
3,P02_R2_optimized_1,7,14,3,0,3
3,P03,7,5,99,4,99
3,P03,10,10,0,1,0
3,P03,3,9,53,1,53
4,P05_R2_optimized_1,3,9,53,0,53
4,P05_R2_optimized_1,10,8,1,0,1
4,P05_R2_optimized_1,7,5,99,5,99
4,P01_R2_optimized_1,10,8,1,0,1
4,P01_R2_optimized_1,2,7,1,0,1
4,P01_R2_optimized_1,7,5,99,5,99
4,P04_R2_optimized_1,10,10,0,0,0
4,P04_R2_optimized_1,3,9,53,0,53
4,P04_R2_optimized_1,7,5,99,5,99
4,P02_R2_optimized_1,3,9,53,0,53
4,P02_R2_optimized_1,11,7,0,0,0
4,P02_R2_optimized_1,7,5,99,5,99
4,P03,7,5,99,5,99
4,P03,3,9,53,5,53
4,P03,4,10,1,0,1
5,P05_R2_optimized_1,10,10,0,0,0
5,P05_R2_optimized_1,11,7,0,0,0
5,P05_R2_optimized_1,7,5,99,5,99
5,P01_R2_optimized_1,7,8,0,0,0
5,P01_R2_optimized_1,10,10,0,0,0
5,P01_R2_optimized_1,7,5,99,5,99
5,P04_R2_optimized_1,7,8,0,0,0
5,P04_R2_optimized_1,3,9,53,0,53
5,P04_R2_optimized_1,7,5,99,5,99
5,P02_R2_optimized_1,2,7,1,0,1
5,P02_R2_optimized_1,10,8,1,0,1
5,P02_R2_optimized_1,7,5,99,5,99
5,P03,7,5,99,5,99
5,P03,3,9,53,5,53
5,P03,3,3,4,0,4
6,P05_R2_optimized_1,2,7,1,0,1
6,P05_R2_optimized_1,3,9,53,0,53
6,P05_R2_optimized_1,7,5,99,5,99
6,P01_R2_optimized_1,3,9,53,0,53
6,P01_R2_optimized_1,2,7,1,0,1
6,P01_R2_optimized_1,7,5,99,5,99
6,P04_R2_optimized_1,10,10,0,0,0
6,P04_R2_optimized_1,3,9,53,5,53
6,P04_R2_optimized_1,7,5,99,5,99
6,P02_R2_optimized_1,3,9,53,2,53
6,P02_R2_optimized_1,11,7,0,0,0
6,P02_R2_optimized_1,7,5,99,5,99
