round,playerId,mapX,mapY,value,numberStars,score
1,P03_R2_optimized_1,4,8,20,0,20
1,P03_R2_optimized_1,13,12,7,0,7
1,P03_R2_optimized_1,10,12,3,0,3
1,P01_R2_optimized_1,7,0,0,0,0
1,P01_R2_optimized_1,5,12,84,0,84
1,P01_R2_optimized_1,0,11,72,0,72
1,P02_R2_optimized_1,6,1,85,3,85
1,P02_R2_optimized_1,7,5,7,0,7
1,P02_R2_optimized_1,1,3,0,0,0
1,P05_R2_optimized_1,9,12,3,0,3
1,P05_R2_optimized_1,2,13,53,0,53
1,P05_R2_optimized_1,2,5,0,0,0
1,P04,13,2,4,5,4
1,P04,11,7,3,5,3
1,P04,9,13,1,5,1
2,P03_R2_optimized_1,6,1,85,5,85
2,P03_R2_optimized_1,13,2,4,0,4
2,P03_R2_optimized_1,9,13,1,0,1
2,P01_R2_optimized_1,6,1,85,1,85
2,P01_R2_optimized_1,0,11,72,1,72
2,P01_R2_optimized_1,5,12,84,0,84
2,P02_R2_optimized_1,13,2,4,0,4
2,P02_R2_optimized_1,11,7,3,0,3
2,P02_R2_optimized_1,6,1,85,4,85
2,P05_R2_optimized_1,13,2,4,0,4
2,P05_R2_optimized_1,9,13,1,0,1
2,P05_R2_optimized_1,11,7,3,0,3
2,P04,6,1,85,5,85
2,P04,2,9,3,0,3
2,P04,2,4,4,0,4
3,P03_R2_optimized_1,0,11,72,0,72
3,P03_R2_optimized_1,11,7,3,0,3
3,P03_R2_optimized_1,6,1,85,2,85
3,P01_R2_optimized_1,0,11,72,4,72
3,P01_R2_optimized_1,5,12,84,0,84
3,P01_R2_optimized_1,6,1,85,5,85
3,P02_R2_optimized_1,9,13,1,0,1
3,P02_R2_optimized_1,0,11,72,5,72
3,P02_R2_optimized_1,6,1,85,4,85
3,P05_R2_optimized_1,6,1,85,5,85
3,P05_R2_optimized_1,0,11,72,0,72
3,P05_R2_optimized_1,8,8,3,0,3
3,P04,6,1,85,5,85
3,P04,1,7,3,0,3
3,P04,1,1,2,1,2
4,P03_R2_optimized_1,13,2,4,0,4
4,P03_R2_optimized_1,0,11,72,5,72
4,P03_R2_optimized_1,6,1,85,4,85
4,P01_R2_optimized_1,0,11,72,5,72
4,P01_R2_optimized_1,5,12,84,5,84
4,P01_R2_optimized_1,6,1,85,5,85
4,P02_R2_optimized_1,1,1,2,0,2
4,P02_R2_optimized_1,0,11,72,2,72
4,P02_R2_optimized_1,6,1,85,5,85
4,P05_R2_optimized_1,11,7,3,0,3
4,P05_R2_optimized_1,0,11,72,5,72
4,P05_R2_optimized_1,6,1,85,0,85
4,P04,0,11,72,1,72
4,P04,6,1,85,5,85
4,P04,5,14,6,0,6
5,P03_R2_optimized_1,11,7,3,0,3
5,P03_R2_optimized_1,0,11,72,2,72
5,P03_R2_optimized_1,6,1,85,2,85
5,P01_R2_optimized_1,0,11,72,2,72
5,P01_R2_optimized_1,5,12,84,0,84
5,P01_R2_optimized_1,6,1,85,0,85
5,P02_R2_optimized_1,5,12,84,5,84
5,P02_R2_optimized_1,0,11,72,0,72
5,P02_R2_optimized_1,6,1,85,5,85
5,P05_R2_optimized_1,9,13,1,0,1
5,P05_R2_optimized_1,0,11,72,0,72
5,P05_R2_optimized_1,6,1,85,0,85
5,P04,0,11,72,2,72
5,P04,5,12,84,4,84
5,P04,6,1,85,5,85
6,P03_R2_optimized_1,5,12,84,0,84
