round,playerId,mapX,mapY,value,numberStars,score
1,P02_R2_optimized_1,2,9,6,0,6
1,P02_R2_optimized_1,1,0,71,5,71
1,P02_R2_optimized_1,8,1,7,0,7
1,P04_R2_optimized_1,13,4,2,0,2
1,P04_R2_optimized_1,1,3,3,0,3
1,P04_R2_optimized_1,9,9,72,0,72
1,P01_R2_optimized_1,1,8,1,0,1
1,P01_R2_optimized_1,0,14,4,0,4
1,P01_R2_optimized_1,2,7,1,0,1
1,P03_R2_optimized_1,0,6,14,0,14
1,P03_R2_optimized_1,1,6,3,0,3
1,P03_R2_optimized_1,3,4,3,0,3
1,P05,0,7,0,0,0
1,P05,14,7,3,0,3
1,P05,7,14,3,0,3
2,P02_R2_optimized_1,4,12,7,0,7
2,P02_R2_optimized_1,6,10,8,0,8
2,P02_R2_optimized_1,1,0,71,0,71
2,P04_R2_optimized_1,1,0,71,5,71
2,P04_R2_optimized_1,1,2,1,0,1
2,P04_R2_optimized_1,9,9,72,0,72
2,P01_R2_optimized_1,1,0,71,0,71
2,P01_R2_optimized_1,14,14,53,0,53
2,P01_R2_optimized_1,8,1,7,0,7
2,P03_R2_optimized_1,1,0,71,1,71
2,P03_R2_optimized_1,12,4,0,0,0
2,P03_R2_optimized_1,10,9,19,0,19
2,P05,1,0,71,5,71
2,P05,7,0,0,0,0
2,P05,14,0,1,0,1
3,P02_R2_optimized_1,12,12,4,0,4
3,P02_R2_optimized_1,2,1,2,0,2
3,P02_R2_optimized_1,1,0,71,5,71
3,P04_R2_optimized_1,8,12,2,0,2
3,P04_R2_optimized_1,1,0,71,5,71
3,P04_R2_optimized_1,9,9,72,0,72
3,P01_R2_optimized_1,1,4,2,0,2
3,P01_R2_optimized_1,11,13,1,0,1
3,P01_R2_optimized_1,1,0,71,0,71
3,P03_R2_optimized_1,3,3,1,0,1
3,P03_R2_optimized_1,12,9,44,0,44
3,P03_R2_optimized_1,1,0,71,5,71
3,P05,1,0,71,5,71
3,P05,1,3,3,0,3
3,P05,4,3,8,0,8
4,P02_R2_optimized_1,4,14,1,0,1
4,P02_R2_optimized_1,6,12,1,0,1
4,P02_R2_optimized_1,1,0,71,0,71
4,P04_R2_optimized_1,4,9,8,0,8
4,P04_R2_optimized_1,1,0,71,0,71
4,P04_R2_optimized_1,9,9,72,0,72
4,P01_R2_optimized_1,2,4,14,0,14
4,P01_R2_optimized_1,8,14,3,0,3
4,P01_R2_optimized_1,1,0,71,4,71
4,P03_R2_optimized_1,3,5,2,0,2
4,P03_R2_optimized_1,1,12,2,0,2
4,P03_R2_optimized_1,1,0,71,0,71
4,P05,6,4,7,0,7
4,P05,1,0,71,5,71
4,P05,3,6,1,0,1
5,P02_R2_optimized_1,2,14,2,0,2
5,P02_R2_optimized_1,2,11,3,0,3
5,P02_R2_optimized_1,1,0,71,0,71
5,P04_R2_optimized_1,5,0,53,0,53
5,P04_R2_optimized_1,1,0,71,0,71
5,P04_R2_optimized_1,9,9,72,0,72
5,P01_R2_optimized_1,0,11,1,0,1
5,P01_R2_optimized_1,5,6,19,0,19
5,P01_R2_optimized_1,1,0,71,3,71
5,P03_R2_optimized_1,10,11,20,0,20
5,P03_R2_optimized_1,0,14,4,0,4
5,P03_R2_optimized_1,1,0,71,0,71
5,P05,6,6,1,0,1
5,P05,6,7,1,0,1
5,P05,1,0,71,5,71
6,P02_R2_optimized_1,0,9,2,0,2
6,P02_R2_optimized_1,12,13,45,0,45
6,P02_R2_optimized_1,1,0,71,0,71
6,P04_R2_optimized_1,6,3,0,0,0
6,P04_R2_optimized_1,1,0,71,0,71
6,P04_R2_optimized_1,9,9,72,3,72
6,P01_R2_optimized_1,10,3,1,0,1
6,P01_R2_optimized_1,5,13,2,0,2
6,P01_R2_optimized_1,1,0,71,0,71
6,P03_R2_optimized_1,9,7,86,5,86
6,P03_R2_optimized_1,5,12,1,0,1
6,P03_R2_optimized_1,1,0,71,0,71
6,P05,3,8,2,0,2
6,P05,5,8,3,0,3
6,P05,1,0,71,5,71
7,P02_R2_optimized_1,9,7,86,3,86
7,P02_R2_optimized_1,12,13,45,0,45
7,P02_R2_optimized_1,1,0,71,5,71
7,P04_R2_optimized_1,9,7,86,0,86
7,P04_R2_optimized_1,1,0,71,5,71
7,P04_R2_optimized_1,9,9,72,2,72
7,P01_R2_optimized_1,9,9,72,0,72
7,P01_R2_optimized_1,9,7,86,3,86
7,P01_R2_optimized_1,1,0,71,5,71
7,P03_R2_optimized_1,9,9,72,2,72
7,P03_R2_optimized_1,1,0,71,3,71
7,P03_R2_optimized_1,9,7,86,4,86
7,P05,9,7,86,5,86
7,P05,9,9,72,5,72
7,P05,1,0,71,5,71
8,P02_R2_optimized_1,9,9,72,0,72
8,P02_R2_optimized_1,1,0,71,0,71
8,P02_R2_optimized_1,9,7,86,5,86
8,P04_R2_optimized_1,1,0,71,0,71
8,P04_R2_optimized_1,9,9,72,2,72
8,P04_R2_optimized_1,9,7,86,5,86
8,P01_R2_optimized_1,1,0,71,0,71
8,P01_R2_optimized_1,9,9,72,0,72
8,P01_R2_optimized_1,9,7,86,0,86
8,P03_R2_optimized_1,1,0,71,5,71
8,P03_R2_optimized_1,9,9,72,1,72
8,P03_R2_optimized_1,9,7,86,1,86
8,P05,9,7,86,5,86
8,P05,9,9,72,5,72
8,P05,1,0,71,5,71
9,P02_R2_optimized_1,1,0,71,0,71
9,P02_R2_optimized_1,9,9,72,1,72
9,P02_R2_optimized_1,9,7,86,5,86
9,P04_R2_optimized_1,1,0,71,0,71
9,P04_R2_optimized_1,9,9,72,0,72
9,P04_R2_optimized_1,9,7,86,2,86
9,P01_R2_optimized_1,1,0,71,5,71
9,P01_R2_optimized_1,9,9,72,3,72
9,P01_R2_optimized_1,9,7,86,5,86
9,P03_R2_optimized_1,1,0,71,0,71
9,P03_R2_optimized_1,9,9,72,0,72
9,P03_R2_optimized_1,9,7,86,0,86
9,P05,1,0,71,5,71
9,P05,9,7,86,5,86
9,P05,9,9,72,5,72
10,P02_R2_optimized_1,1,0,71,5,71
10,P02_R2_optimized_1,9,9,72,5,72
10,P02_R2_optimized_1,9,7,86,1,86
10,P04_R2_optimized_1,1,0,71,2,71
10,P04_R2_optimized_1,9,9,72,1,72
10,P04_R2_optimized_1,9,7,86,0,86
10,P01_R2_optimized_1,1,0,71,0,71
10,P01_R2_optimized_1,9,9,72,4,72
10,P01_R2_optimized_1,9,7,86,5,86
10,P03_R2_optimized_1,1,0,71,5,71
10,P03_R2_optimized_1,9,9,72,1,72
10,P03_R2_optimized_1,9,7,86,5,86
10,P05,1,0,71,5,71
10,P05,9,7,86,5,86
10,P05,9,9,72,5,72
11,P02_R2_optimized_1,1,0,71,5,71
11,P02_R2_optimized_1,9,9,72,5,72
11,P02_R2_optimized_1,9,7,86,0,86
11,P04_R2_optimized_1,1,0,71,4,71
11,P04_R2_optimized_1,9,9,72,0,72
11,P04_R2_optimized_1,9,7,86,3,86
11,P01_R2_optimized_1,1,0,71,0,71
11,P01_R2_optimized_1,9,9,72,2,72
11,P01_R2_optimized_1,9,7,86,2,86
11,P03_R2_optimized_1,1,0,71,0,71
11,P03_R2_optimized_1,9,9,72,0,72
11,P03_R2_optimized_1,9,7,86,5,86
11,P05,1,0,71,5,71
11,P05,9,7,86,5,86
11,P05,9,9,72,5,72
12,P02_R2_optimized_1,1,0,71,5,71
12,P02_R2_optimized_1,9,9,72,5,72
12,P02_R2_optimized_1,9,7,86,5,86
12,P04_R2_optimized_1,1,0,71,0,71
12,P04_R2_optimized_1,9,9,72,4,72
12,P04_R2_optimized_1,9,7,86,3,86
12,P01_R2_optimized_1,1,0,71,0,71
12,P01_R2_optimized_1,9,9,72,5,72
12,P01_R2_optimized_1,9,7,86,5,86
12,P03_R2_optimized_1,1,0,71,1,71
12,P03_R2_optimized_1,9,9,72,0,72
12,P03_R2_optimized_1,9,7,86,2,86
12,P05,1,0,71,5,71
12,P05,9,7,86,5,86
12,P05,9,9,72,5,72
13,P02_R2_optimized_1,1,0,71,5,71
13,P02_R2_optimized_1,9,9,72,2,72
13,P02_R2_optimized_1,9,7,86,1,86
13,P04_R2_optimized_1,1,0,71,0,71
13,P04_R2_optimized_1,9,9,72,0,72
13,P04_R2_optimized_1,9,7,86,5,86
13,P01_R2_optimized_1,1,0,71,0,71
13,P01_R2_optimized_1,9,9,72,5,72
13,P01_R2_optimized_1,9,7,86,5,86
13,P03_R2_optimized_1,1,0,71,0,71
13,P03_R2_optimized_1,9,9,72,0,72
13,P03_R2_optimized_1,9,7,86,5,86
13,P05,1,0,71,5,71
13,P05,9,7,86,5,86
13,P05,9,9,72,5,72
14,P02_R2_optimized_1,1,0,71,5,71
14,P02_R2_optimized_1,9,9,72,0,72
14,P02_R2_optimized_1,9,7,86,5,86
14,P04_R2_optimized_1,1,0,71,0,71
14,P04_R2_optimized_1,9,9,72,3,72
14,P04_R2_optimized_1,9,7,86,5,86
14,P01_R2_optimized_1,1,0,71,5,71
14,P01_R2_optimized_1,9,9,72,5,72
14,P01_R2_optimized_1,9,7,86,5,86
14,P03_R2_optimized_1,1,0,71,0,71
14,P03_R2_optimized_1,9,9,72,0,72
14,P03_R2_optimized_1,9,7,86,5,86
14,P05,1,0,71,5,71
14,P05,9,7,86,5,86
14,P05,9,9,72,5,72
15,P02_R2_optimized_1,1,0,71,4,71
15,P02_R2_optimized_1,9,9,72,0,72
15,P02_R2_optimized_1,9,7,86,5,86
15,P04_R2_optimized_1,1,0,71,0,71
15,P04_R2_optimized_1,9,9,72,0,72
15,P04_R2_optimized_1,9,7,86,5,86
15,P01_R2_optimized_1,1,0,71,3,71
15,P01_R2_optimized_1,9,9,72,5,72
15,P01_R2_optimized_1,9,7,86,5,86
15,P03_R2_optimized_1,1,0,71,5,71
15,P03_R2_optimized_1,9,9,72,5,72
15,P03_R2_optimized_1,9,7,86,5,86
15,P05,1,0,71,5,71
15,P05,9,7,86,5,86
15,P05,9,9,72,5,72
16,P02_R2_optimized_1,1,0,71,0,71
16,P02_R2_optimized_1,9,9,72,0,72
16,P02_R2_optimized_1,9,7,86,5,86
16,P04_R2_optimized_1,1,0,71,2,71
16,P04_R2_optimized_1,9,9,72,5,72
16,P04_R2_optimized_1,9,7,86,5,86
16,P01_R2_optimized_1,1,0,71,0,71
16,P01_R2_optimized_1,9,9,72,1,72
16,P01_R2_optimized_1,9,7,86,0,86
16,P03_R2_optimized_1,1,0,71,0,71
16,P03_R2_optimized_1,9,9,72,0,72
16,P03_R2_optimized_1,9,7,86,3,86
16,P05,1,0,71,5,71
16,P05,9,7,86,5,86
16,P05,9,9,72,5,72
17,P02_R2_optimized_1,1,0,71,1,71
17,P02_R2_optimized_1,9,9,72,0,72
17,P02_R2_optimized_1,9,7,86,1,86
17,P04_R2_optimized_1,1,0,71,0,71
17,P04_R2_optimized_1,9,9,72,0,72
17,P04_R2_optimized_1,9,7,86,5,86
17,P01_R2_optimized_1,1,0,71,2,71
17,P01_R2_optimized_1,9,9,72,5,72
17,P01_R2_optimized_1,9,7,86,1,86
