round,playerId,mapX,mapY,value,numberStars,score
1,P05_R2_optimized_1,3,3,19,0,19
1,P05_R2_optimized_1,13,0,2,0,2
1,P05_R2_optimized_1,3,8,1,0,1
1,P03_R2_optimized_1,10,5,0,0,0
1,P03_R2_optimized_1,9,11,45,0,45
1,P03_R2_optimized_1,1,14,1,0,1
1,P02_R2_optimized_1,4,10,3,0,3
1,P02_R2_optimized_1,1,13,13,0,13
1,P02_R2_optimized_1,4,1,0,0,0
1,P04_R2_optimized_1,5,9,3,0,3
1,P04_R2_optimized_1,4,8,3,0,3
1,P04_R2_optimized_1,11,11,3,0,3
1,P01,4,11,1,5,1
1,P01,11,5,2,5,2
1,P01,3,1,2,5,2
2,P05_R2_optimized_1,3,1,2,0,2
2,P05_R2_optimized_1,11,5,2,0,2
2,P05_R2_optimized_1,4,11,1,0,1
2,P03_R2_optimized_1,3,1,2,0,2
2,P03_R2_optimized_1,11,5,2,0,2
2,P03_R2_optimized_1,4,11,1,0,1
2,P02_R2_optimized_1,3,1,2,0,2
2,P02_R2_optimized_1,4,11,1,0,1
2,P02_R2_optimized_1,11,5,2,0,2
2,P04_R2_optimized_1,4,11,1,0,1
2,P04_R2_optimized_1,11,5,2,0,2
2,P04_R2_optimized_1,3,1,2,0,2
2,P01,11,2,2,5,2
2,P01,6,6,3,5,3
2,P01,8,9,86,1,86
3,P05_R2_optimized_1,11,2,2,0,2
3,P05_R2_optimized_1,8,9,86,0,86
3,P05_R2_optimized_1,6,6,3,0,3
3,P03_R2_optimized_1,6,6,3,0,3
3,P03_R2_optimized_1,8,9,86,0,86
3,P03_R2_optimized_1,11,2,2,0,2
3,P02_R2_optimized_1,6,6,3,0,3
3,P02_R2_optimized_1,8,9,86,5,86
3,P02_R2_optimized_1,11,2,2,0,2
3,P04_R2_optimized_1,11,2,2,0,2
3,P04_R2_optimized_1,6,6,3,0,3
3,P04_R2_optimized_1,8,9,86,5,86
3,P01,8,9,86,1,86
3,P01,12,13,2,5,2
3,P01,1,14,1,5,1
4,P05_R2_optimized_1,11,5,2,0,2
4,P05_R2_optimized_1,4,11,1,0,1
4,P05_R2_optimized_1,8,9,86,4,86
4,P03_R2_optimized_1,12,13,2,0,2
4,P03_R2_optimized_1,11,5,2,0,2
4,P03_R2_optimized_1,8,9,86,5,86
4,P02_R2_optimized_1,12,13,2,0,2
4,P02_R2_optimized_1,1,14,1,0,1
4,P02_R2_optimized_1,8,9,86,5,86
4,P04_R2_optimized_1,11,5,2,0,2
4,P04_R2_optimized_1,3,1,2,0,2
4,P04_R2_optimized_1,8,9,86,3,86
4,P01,8,9,86,1,86
4,P01,13,6,3,5,3
4,P01,1,3,1,5,1
5,P05_R2_optimized_1,11,2,2,0,2
5,P05_R2_optimized_1,6,6,3,0,3
5,P05_R2_optimized_1,8,9,86,5,86
5,P03_R2_optimized_1,1,3,1,0,1
5,P03_R2_optimized_1,6,6,3,0,3
5,P03_R2_optimized_1,8,9,86,0,86
5,P02_R2_optimized_1,4,11,1,0,1
5,P02_R2_optimized_1,11,2,2,0,2
5,P02_R2_optimized_1,8,9,86,5,86
5,P04_R2_optimized_1,6,6,3,0,3
5,P04_R2_optimized_1,1,14,1,0,1
5,P04_R2_optimized_1,8,9,86,5,86
5,P01,8,9,86,1,86
5,P01,1,7,0,5,0
5,P01,13,10,24,2,24
6,P05_R2_optimized_1,12,13,2,0,2
6,P05_R2_optimized_1,4,11,1,0,1
6,P05_R2_optimized_1,8,9,86,1,86
6,P03_R2_optimized_1,4,11,1,0,1
6,P03_R2_optimized_1,13,6,3,0,3
6,P03_R2_optimized_1,8,9,86,0,86
6,P02_R2_optimized_1,3,1,2,0,2
6,P02_R2_optimized_1,13,6,3,0,3
6,P02_R2_optimized_1,8,9,86,5,86
6,P04_R2_optimized_1,11,5,2,0,2
6,P04_R2_optimized_1,11,2,2,0,2
6,P04_R2_optimized_1,8,9,86,5,86
6,P01,13,10,24,1,24
6,P01,8,9,86,1,86
6,P01,6,13,4,5,4
7,P05_R2_optimized_1,11,2,2,0,2
7,P05_R2_optimized_1,11,5,2,0,2
7,P05_R2_optimized_1,8,9,86,5,86
7,P03_R2_optimized_1,3,1,2,0,2
7,P03_R2_optimized_1,12,13,2,0,2
7,P03_R2_optimized_1,8,9,86,4,86
7,P02_R2_optimized_1,6,6,3,0,3
7,P02_R2_optimized_1,12,13,2,0,2
7,P02_R2_optimized_1,8,9,86,2,86
7,P04_R2_optimized_1,1,7,0,0,0
7,P04_R2_optimized_1,1,14,1,0,1
7,P04_R2_optimized_1,8,9,86,5,86
7,P01,13,10,24,1,24
7,P01,8,9,86,1,86
7,P01,9,11,45,1,45
8,P05_R2_optimized_1,1,3,1,0,1
8,P05_R2_optimized_1,3,1,2,0,2
8,P05_R2_optimized_1,8,9,86,4,86
8,P03_R2_optimized_1,6,13,4,0,4
8,P03_R2_optimized_1,6,6,3,0,3
8,P03_R2_optimized_1,8,9,86,5,86
8,P02_R2_optimized_1,11,2,2,0,2
8,P02_R2_optimized_1,1,14,1,0,1
8,P02_R2_optimized_1,8,9,86,5,86
8,P04_R2_optimized_1,6,6,3,0,3
8,P04_R2_optimized_1,13,10,24,0,24
8,P04_R2_optimized_1,8,9,86,5,86
8,P01,9,11,45,1,45
8,P01,8,9,86,1,86
8,P01,3,8,1,5,1
9,P05_R2_optimized_1,12,13,2,0,2
9,P05_R2_optimized_1,6,13,4,0,4
9,P05_R2_optimized_1,8,9,86,5,86
9,P03_R2_optimized_1,13,10,24,0,24
9,P03_R2_optimized_1,13,6,3,0,3
9,P03_R2_optimized_1,8,9,86,5,86
9,P02_R2_optimized_1,3,8,1,0,1
9,P02_R2_optimized_1,6,13,4,0,4
9,P02_R2_optimized_1,8,9,86,1,86
9,P04_R2_optimized_1,11,5,2,0,2
9,P04_R2_optimized_1,11,2,2,0,2
9,P04_R2_optimized_1,8,9,86,2,86
9,P01,9,11,45,1,45
9,P01,8,9,86,1,86
9,P01,7,4,4,5,4
10,P05_R2_optimized_1,11,2,2,0,2
10,P05_R2_optimized_1,6,6,3,0,3
10,P05_R2_optimized_1,8,9,86,5,86
10,P03_R2_optimized_1,1,7,0,0,0
10,P03_R2_optimized_1,6,6,3,0,3
10,P03_R2_optimized_1,8,9,86,5,86
10,P02_R2_optimized_1,11,5,2,0,2
10,P02_R2_optimized_1,11,2,2,0,2
10,P02_R2_optimized_1,8,9,86,0,86
10,P04_R2_optimized_1,13,10,24,0,24
10,P04_R2_optimized_1,7,4,4,0,4
10,P04_R2_optimized_1,8,9,86,2,86
10,P01,9,11,45,1,45
10,P01,8,9,86,1,86
10,P01,9,0,13,4,13
11,P05_R2_optimized_1,12,13,2,0,2
11,P05_R2_optimized_1,3,8,1,0,1
11,P05_R2_optimized_1,8,9,86,5,86
11,P03_R2_optimized_1,6,13,4,0,4
11,P03_R2_optimized_1,12,13,2,0,2
11,P03_R2_optimized_1,8,9,86,5,86
11,P02_R2_optimized_1,3,8,1,0,1
11,P02_R2_optimized_1,7,4,4,0,4
11,P02_R2_optimized_1,8,9,86,2,86
11,P04_R2_optimized_1,6,13,4,0,4
11,P04_R2_optimized_1,4,11,1,0,1
11,P04_R2_optimized_1,8,9,86,5,86
11,P01,9,11,45,1,45
11,P01,8,9,86,1,86
11,P01,1,10,0,5,0
12,P05_R2_optimized_1,1,3,1,0,1
12,P05_R2_optimized_1,1,10,0,0,0
12,P05_R2_optimized_1,8,9,86,4,86
12,P03_R2_optimized_1,3,1,2,0,2
12,P03_R2_optimized_1,1,3,1,0,1
12,P03_R2_optimized_1,8,9,86,5,86
12,P02_R2_optimized_1,12,13,2,0,2
12,P02_R2_optimized_1,9,0,13,0,13
12,P02_R2_optimized_1,8,9,86,1,86
12,P04_R2_optimized_1,6,6,3,0,3
12,P04_R2_optimized_1,13,10,24,0,24
12,P04_R2_optimized_1,8,9,86,5,86
12,P01,9,11,45,1,45
12,P01,8,9,86,1,86
12,P01,11,7,2,5,2
13,P05_R2_optimized_1,11,2,2,0,2
13,P05_R2_optimized_1,1,14,1,0,1
13,P05_R2_optimized_1,8,9,86,5,86
13,P03_R2_optimized_1,11,7,2,0,2
13,P03_R2_optimized_1,13,10,24,0,24
13,P03_R2_optimized_1,8,9,86,3,86
13,P02_R2_optimized_1,11,2,2,0,2
13,P02_R2_optimized_1,3,8,1,0,1
13,P02_R2_optimized_1,8,9,86,5,86
13,P04_R2_optimized_1,9,0,13,0,13
13,P04_R2_optimized_1,1,14,1,0,1
13,P04_R2_optimized_1,8,9,86,5,86
13,P01,9,11,45,1,45
13,P01,8,9,86,1,86
13,P01,9,4,22,1,22
14,P05_R2_optimized_1,4,11,1,0,1
14,P05_R2_optimized_1,1,7,0,0,0
14,P05_R2_optimized_1,8,9,86,5,86
14,P03_R2_optimized_1,13,6,3,0,3
14,P03_R2_optimized_1,1,7,0,0,0
14,P03_R2_optimized_1,8,9,86,5,86
14,P02_R2_optimized_1,6,6,3,0,3
14,P02_R2_optimized_1,11,5,2,0,2
14,P02_R2_optimized_1,8,9,86,5,86
14,P04_R2_optimized_1,7,4,4,0,4
14,P04_R2_optimized_1,4,11,1,0,1
14,P04_R2_optimized_1,8,9,86,0,86
14,P01,9,4,22,1,22
14,P01,8,9,86,1,86
14,P01,9,11,45,1,45
15,P05_R2_optimized_1,11,5,2,0,2
15,P05_R2_optimized_1,1,10,0,0,0
15,P05_R2_optimized_1,8,9,86,5,86
15,P03_R2_optimized_1,1,3,1,0,1
15,P03_R2_optimized_1,12,13,2,0,2
15,P03_R2_optimized_1,8,9,86,4,86
15,P02_R2_optimized_1,7,4,4,0,4
15,P02_R2_optimized_1,1,3,1,0,1
15,P02_R2_optimized_1,8,9,86,5,86
15,P04_R2_optimized_1,9,11,45,0,45
15,P04_R2_optimized_1,1,7,0,0,0
15,P04_R2_optimized_1,8,9,86,4,86
15,P01,9,14,1,5,1
15,P01,8,9,86,1,86
15,P01,9,11,45,1,45
16,P05_R2_optimized_1,13,10,24,0,24
16,P05_R2_optimized_1,6,13,4,0,4
16,P05_R2_optimized_1,8,9,86,5,86
16,P03_R2_optimized_1,6,6,3,0,3
16,P03_R2_optimized_1,9,14,1,0,1
16,P03_R2_optimized_1,8,9,86,5,86
16,P02_R2_optimized_1,9,0,13,0,13
16,P02_R2_optimized_1,1,14,1,0,1
16,P02_R2_optimized_1,8,9,86,0,86
16,P04_R2_optimized_1,9,0,13,0,13
16,P04_R2_optimized_1,11,5,2,0,2
16,P04_R2_optimized_1,8,9,86,0,86
16,P01,5,9,3,5,3
16,P01,8,9,86,1,86
16,P01,9,11,45,1,45
17,P05_R2_optimized_1,1,10,0,0,0
17,P05_R2_optimized_1,4,11,1,0,1
17,P05_R2_optimized_1,8,9,86,5,86
17,P03_R2_optimized_1,9,11,45,0,45
17,P03_R2_optimized_1,1,7,0,0,0
17,P03_R2_optimized_1,8,9,86,3,86
17,P02_R2_optimized_1,13,6,3,0,3
17,P02_R2_optimized_1,5,9,3,0,3
17,P02_R2_optimized_1,8,9,86,0,86
17,P04_R2_optimized_1,1,10,0,0,0
17,P04_R2_optimized_1,5,9,3,0,3
17,P04_R2_optimized_1,8,9,86,5,86
17,P01,9,7,3,5,3
17,P01,9,4,22,1,22
17,P01,8,9,86,1,86
18,P05_R2_optimized_1,6,13,4,0,4
18,P05_R2_optimized_1,7,4,4,0,4
18,P05_R2_optimized_1,8,9,86,5,86
18,P03_R2_optimized_1,5,9,3,0,3
18,P03_R2_optimized_1,9,11,45,0,45
18,P03_R2_optimized_1,8,9,86,2,86
18,P02_R2_optimized_1,6,13,4,0,4
18,P02_R2_optimized_1,6,6,3,0,3
18,P02_R2_optimized_1,8,9,86,2,86
18,P04_R2_optimized_1,1,7,0,0,0
18,P04_R2_optimized_1,3,1,2,0,2
18,P04_R2_optimized_1,8,9,86,0,86
18,P01,9,4,22,1,22
18,P01,8,9,86,1,86
18,P01,9,11,45,1,45
19,P05_R2_optimized_1,5,9,3,0,3
19,P05_R2_optimized_1,11,5,2,0,2
19,P05_R2_optimized_1,8,9,86,0,86
19,P03_R2_optimized_1,7,4,4,0,4
19,P03_R2_optimized_1,9,11,45,0,45
19,P03_R2_optimized_1,8,9,86,5,86
19,P02_R2_optimized_1,12,13,2,0,2
19,P02_R2_optimized_1,3,8,1,0,1
19,P02_R2_optimized_1,8,9,86,5,86
19,P04_R2_optimized_1,6,13,4,0,4
19,P04_R2_optimized_1,9,11,45,1,45
19,P04_R2_optimized_1,8,9,86,5,86
19,P01,9,11,45,1,45
19,P01,8,9,86,1,86
19,P01,9,4,22,1,22
20,P05_R2_optimized_1,11,2,2,0,2
20,P05_R2_optimized_1,9,11,45,0,45
20,P05_R2_optimized_1,8,9,86,5,86
20,P03_R2_optimized_1,3,1,2,0,2
20,P03_R2_optimized_1,9,4,22,0,22
20,P03_R2_optimized_1,8,9,86,5,86
20,P02_R2_optimized_1,9,14,1,0,1
20,P02_R2_optimized_1,9,11,45,0,45
20,P02_R2_optimized_1,8,9,86,5,86
20,P04_R2_optimized_1,9,7,3,0,3
20,P04_R2_optimized_1,9,0,13,0,13
20,P04_R2_optimized_1,8,9,86,5,86
20,P01,9,11,45,1,45
20,P01,8,9,86,1,86
20,P01,9,4,22,1,22
